#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-19    ;    65.69037656903765    ;    37.5
2022-01-25@22-31-25    ;    65.69037656903765    ;    37.5
2022-01-25@22-36-31    ;    65.27196652719665    ;    37.5
2022-01-25@22-41-40    ;    65.27196652719665    ;    37.5
2022-01-25@22-46-46    ;    65.27196652719665    ;    37.5
2022-01-25@22-51-52    ;    65.27196652719665    ;    37.5
2022-01-25@22-56-58    ;    64.85355648535564    ;    37.5
2022-01-25@23-02-07    ;    65.27196652719665    ;    37.5
2022-01-25@23-07-13    ;    65.27196652719665    ;    37.5
2022-01-25@23-12-18    ;    65.27196652719665    ;    37.5
2022-01-25@23-17-24    ;    65.27196652719665    ;    37.5
2022-01-25@23-22-30    ;    65.27196652719665    ;    37.5
2022-01-25@23-27-35    ;    65.27196652719665    ;    37.5
2022-01-25@23-32-45    ;    65.27196652719665    ;    37.5
2022-01-25@23-37-51    ;    65.27196652719665    ;    37.5
2022-01-25@23-42-58    ;    65.27196652719665    ;    37.5
2022-01-25@23-48-04    ;    65.27196652719665    ;    37.5
2022-01-25@23-53-10    ;    65.27196652719665    ;    37.5
2022-01-25@23-58-15    ;    65.27196652719665    ;    37.5
2022-01-26@00-03-21    ;    65.27196652719665    ;    37.5
2022-01-26@00-08-26    ;    65.69037656903765    ;    37.5
2022-01-26@00-13-34    ;    65.69037656903765    ;    37.5
2022-01-26@00-18-43    ;    65.69037656903765    ;    37.5
2022-01-26@00-23-48    ;    65.69037656903765    ;    37.5
2022-01-26@00-28-54    ;    65.69037656903765    ;    37.5
2022-01-26@00-34-01    ;    65.69037656903765    ;    37.5
2022-01-26@00-39-07    ;    65.69037656903765    ;    37.5
2022-01-26@00-44-12    ;    65.69037656903765    ;    37.5
2022-01-26@00-49-18    ;    65.69037656903765    ;    37.5
2022-01-26@08-10-43    ;    64.43514644351464    ;    12.5
2022-01-26@08-16-15    ;    64.85355648535564    ;    12.5
2022-01-26@08-21-28    ;    64.01673640167364    ;    12.5
2022-01-26@08-27-03    ;    64.01673640167364    ;    12.5
2022-01-26@08-28-26    ;    64.01673640167364    ;    12.5
2022-01-26@08-28-50    ;    64.01673640167364    ;    12.5
2022-01-26@08-32-20    ;    63.59832635983263    ;    12.5
2022-01-26@08-37-30    ;    63.59832635983263    ;    6.25
2022-01-26@08-42-42    ;    63.17991631799163    ;    6.25
2022-01-26@08-47-53    ;    63.17991631799163    ;    6.25
2022-01-26@08-53-08    ;    62.76150627615063    ;    6.25
2022-01-26@08-59-21    ;    62.34309623430963    ;    6.25
2022-01-26@09-05-18    ;    60.66945606694561    ;    6.25
2022-01-26@09-10-31    ;    59.83263598326359    ;    12.5
2022-01-26@09-15-44    ;    60.25104602510461    ;    12.5
2022-01-26@09-19-36    ;    60.25104602510461    ;    12.5
2022-01-26@09-24-47    ;    60.25104602510461    ;    12.5
2022-01-26@09-29-57    ;    59.41422594142259    ;    12.5
2022-01-26@09-35-07    ;    59.41422594142259    ;    12.5
2022-01-26@09-40-43    ;    59.41422594142259    ;    12.5
2022-01-26@09-45-55    ;    58.995815899581594    ;    12.5
2022-01-26@09-51-09    ;    57.74058577405857    ;    12.5
2022-01-26@09-56-26    ;    57.74058577405857    ;    12.5
2022-01-26@10-01-56    ;    57.74058577405857    ;    12.5
2022-01-26@10-07-07    ;    57.32217573221757    ;    12.5
2022-01-26@10-12-34    ;    57.32217573221757    ;    12.5
2022-01-26@10-17-46    ;    56.903765690376574    ;    6.25
2022-01-26@10-23-07    ;    56.06694560669456    ;    6.25
2022-01-26@10-28-27    ;    56.06694560669456    ;    6.25
2022-01-26@10-33-51    ;    56.06694560669456    ;    56.25
2022-01-26@10-39-32    ;    56.06694560669456    ;    56.25
2022-01-26@10-45-10    ;    55.64853556485355    ;    56.25
2022-01-26@10-50-55    ;    55.64853556485355    ;    56.25
2022-01-26@10-56-05    ;    55.64853556485355    ;    56.25
2022-01-26@11-01-26    ;    55.23012552301255    ;    56.25
2022-01-26@11-06-55    ;    55.23012552301255    ;    56.25
2022-01-26@11-12-23    ;    55.23012552301255    ;    56.25
2022-01-26@11-17-43    ;    53.97489539748954    ;    56.25
2022-01-26@11-22-56    ;    53.97489539748954    ;    56.25
2022-01-26@11-28-54    ;    53.97489539748954    ;    56.25
2022-01-26@11-34-22    ;    53.97489539748954    ;    56.25
2022-01-26@11-39-51    ;    53.55648535564853    ;    56.25
2022-01-26@11-45-11    ;    53.55648535564853    ;    56.25
2022-01-26@11-50-37    ;    52.719665271966534    ;    56.25
2022-01-26@11-56-03    ;    52.719665271966534    ;    56.25
2022-01-26@12-01-17    ;    52.30125523012552    ;    56.25
2022-01-26@12-06-44    ;    52.719665271966534    ;    56.25
2022-01-26@12-43-22    ;    53.55648535564853    ;    50.0
2022-01-26@12-48-35    ;    53.55648535564853    ;    50.0
2022-01-26@12-53-49    ;    53.97489539748954    ;    50.0
2022-01-26@12-59-06    ;    53.55648535564853    ;    50.0
2022-01-26@13-04-22    ;    53.55648535564853    ;    50.0
2022-01-26@13-09-32    ;    53.55648535564853    ;    50.0
2022-01-26@13-14-45    ;    53.55648535564853    ;    50.0
2022-01-26@13-20-04    ;    53.13807531380753    ;    50.0
2022-01-26@13-25-13    ;    53.55648535564853    ;    50.0
2022-01-26@13-30-25    ;    54.39330543933054    ;    50.0
2022-01-26@13-35-46    ;    54.39330543933054    ;    50.0
2022-01-26@13-41-34    ;    54.811715481171554    ;    43.75
2022-01-26@13-47-15    ;    54.811715481171554    ;    43.75
2022-01-26@13-52-41    ;    53.97489539748954    ;    43.75
2022-01-26@15-27-52    ;    56.06694560669456    ;    25.0
2022-01-26@15-35-16    ;    55.23012552301255    ;    18.75
2022-01-26@15-40-26    ;    55.23012552301255    ;    12.5
2022-01-26@15-45-34    ;    54.811715481171554    ;    18.75
2022-01-26@15-50-42    ;    55.23012552301255    ;    18.75
2022-01-26@15-55-50    ;    54.811715481171554    ;    18.75
2022-01-26@16-00-55    ;    53.97489539748954    ;    18.75
