#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-21    ;    25.65217391304348    ;    0
2022-01-25@22-31-27    ;    26.08695652173913    ;    0
2022-01-25@22-36-33    ;    26.73913043478261    ;    0
2022-01-25@22-41-42    ;    26.956521739130434    ;    0
2022-01-25@22-46-48    ;    27.173913043478258    ;    0
2022-01-25@22-51-54    ;    28.043478260869563    ;    0
2022-01-25@22-57-02    ;    28.47826086956522    ;    0
2022-01-25@23-02-08    ;    28.913043478260867    ;    0
2022-01-25@23-07-15    ;    28.913043478260867    ;    0
2022-01-25@23-12-20    ;    29.565217391304348    ;    0
2022-01-25@23-17-26    ;    30.0    ;    0
2022-01-25@23-22-31    ;    31.08695652173913    ;    0
2022-01-25@23-27-37    ;    31.73913043478261    ;    0
2022-01-25@23-32-47    ;    32.17391304347826    ;    0
2022-01-25@23-37-53    ;    32.826086956521735    ;    0
2022-01-25@23-42-59    ;    33.26086956521739    ;    0
2022-01-25@23-48-06    ;    33.69565217391305    ;    0
2022-01-25@23-53-11    ;    34.130434782608695    ;    0
2022-01-25@23-58-17    ;    34.34782608695652    ;    0
2022-01-26@00-03-22    ;    34.56521739130435    ;    0
2022-01-26@00-08-28    ;    35.21739130434783    ;    0
2022-01-26@00-13-35    ;    35.434782608695656    ;    0
2022-01-26@00-18-44    ;    35.869565217391305    ;    0
2022-01-26@00-23-50    ;    37.173913043478265    ;    0
2022-01-26@00-28-58    ;    37.173913043478265    ;    0
2022-01-26@00-34-03    ;    37.608695652173914    ;    0
2022-01-26@00-39-08    ;    37.608695652173914    ;    0
2022-01-26@00-44-14    ;    37.826086956521735    ;    0
2022-01-26@00-49-20    ;    37.826086956521735    ;    0
2022-01-26@08-10-52    ;    38.26086956521739    ;    0
2022-01-26@08-16-18    ;    37.826086956521735    ;    0
2022-01-26@08-21-41    ;    36.95652173913043    ;    0
2022-01-26@08-27-07    ;    36.95652173913043    ;    0
2022-01-26@08-28-30    ;    36.95652173913043    ;    0
2022-01-26@08-28-57    ;    36.95652173913043    ;    0
2022-01-26@08-32-24    ;    36.30434782608696    ;    0
2022-01-26@08-37-34    ;    35.65217391304348    ;    0
2022-01-26@08-42-45    ;    35.21739130434783    ;    0
2022-01-26@08-47-56    ;    34.56521739130435    ;    0
2022-01-26@08-53-12    ;    34.34782608695652    ;    0
2022-01-26@09-00-05    ;    33.91304347826087    ;    0
2022-01-26@09-05-22    ;    33.26086956521739    ;    0
2022-01-26@09-10-34    ;    33.26086956521739    ;    0
2022-01-26@09-15-48    ;    33.47826086956522    ;    0
2022-01-26@09-19-39    ;    34.130434782608695    ;    0
2022-01-26@09-24-50    ;    33.47826086956522    ;    0
2022-01-26@09-30-00    ;    33.91304347826087    ;    0
2022-01-26@09-35-15    ;    32.391304347826086    ;    0
2022-01-26@09-40-48    ;    32.391304347826086    ;    0
2022-01-26@09-45-59    ;    31.08695652173913    ;    0
2022-01-26@09-51-17    ;    31.30434782608696    ;    0
2022-01-26@09-56-29    ;    30.869565217391305    ;    0
2022-01-26@10-02-00    ;    30.217391304347824    ;    0
2022-01-26@10-07-18    ;    29.565217391304348    ;    0
2022-01-26@10-12-38    ;    28.47826086956522    ;    0
2022-01-26@10-17-49    ;    28.695652173913043    ;    0
2022-01-26@10-23-11    ;    28.913043478260867    ;    0
2022-01-26@10-28-34    ;    28.913043478260867    ;    0
2022-01-26@10-34-11    ;    28.695652173913043    ;    0
2022-01-26@10-39-42    ;    29.130434782608695    ;    0
2022-01-26@10-45-22    ;    28.26086956521739    ;    0
2022-01-26@10-50-58    ;    27.173913043478258    ;    0
2022-01-26@10-56-12    ;    26.08695652173913    ;    0
2022-01-26@11-01-32    ;    26.08695652173913    ;    0
2022-01-26@11-07-02    ;    25.217391304347824    ;    0
2022-01-26@11-12-26    ;    25.0    ;    0
2022-01-26@11-17-47    ;    24.565217391304348    ;    0
2022-01-26@11-23-39    ;    24.782608695652176    ;    0
2022-01-26@11-29-01    ;    25.0    ;    0
2022-01-26@11-34-31    ;    25.217391304347824    ;    0
2022-01-26@11-39-54    ;    25.0    ;    0
2022-01-26@11-45-23    ;    25.0    ;    0
2022-01-26@11-50-45    ;    24.347826086956523    ;    0
2022-01-26@11-56-06    ;    25.65217391304348    ;    0
2022-01-26@12-01-30    ;    25.65217391304348    ;    0
2022-01-26@12-06-53    ;    25.217391304347824    ;    0
2022-01-26@12-43-27    ;    23.47826086956522    ;    0
2022-01-26@12-48-39    ;    23.695652173913043    ;    0
2022-01-26@12-53-56    ;    23.91304347826087    ;    0
2022-01-26@12-59-10    ;    23.91304347826087    ;    0
2022-01-26@13-04-25    ;    23.91304347826087    ;    0
2022-01-26@13-09-35    ;    23.695652173913043    ;    0
2022-01-26@13-14-52    ;    23.695652173913043    ;    0
2022-01-26@13-20-07    ;    23.91304347826087    ;    0
2022-01-26@13-25-18    ;    23.91304347826087    ;    0
2022-01-26@13-30-37    ;    23.47826086956522    ;    0
2022-01-26@13-36-07    ;    22.39130434782609    ;    0
2022-01-26@13-41-46    ;    22.17391304347826    ;    0
2022-01-26@13-47-25    ;    22.82608695652174    ;    0
2022-01-26@13-52-46    ;    23.043478260869566    ;    0
2022-01-26@15-28-30    ;    23.043478260869566    ;    0
2022-01-26@15-35-18    ;    23.47826086956522    ;    0
2022-01-26@15-40-28    ;    23.043478260869566    ;    0
2022-01-26@15-45-36    ;    23.26086956521739    ;    0
2022-01-26@15-50-44    ;    23.26086956521739    ;    0
2022-01-26@15-55-52    ;    22.39130434782609    ;    0
2022-01-26@16-00-57    ;    22.39130434782609    ;    0
2022-01-26@16-06-04    ;    22.608695652173914    ;    0
