#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-24    ;    38.07692307692307    ;    0
2022-01-25@22-31-30    ;    38.07692307692307    ;    0
2022-01-25@22-36-36    ;    38.07692307692307    ;    0
2022-01-25@22-41-45    ;    38.84615384615385    ;    0
2022-01-25@22-46-51    ;    38.84615384615385    ;    0
2022-01-25@22-51-57    ;    38.84615384615385    ;    0
2022-01-25@22-57-06    ;    38.84615384615385    ;    0
2022-01-25@23-02-11    ;    38.84615384615385    ;    0
2022-01-25@23-07-17    ;    39.23076923076923    ;    0
2022-01-25@23-12-23    ;    39.23076923076923    ;    0
2022-01-25@23-17-29    ;    39.23076923076923    ;    0
2022-01-25@23-22-34    ;    39.23076923076923    ;    0
2022-01-25@23-27-44    ;    39.23076923076923    ;    0
2022-01-25@23-32-50    ;    39.23076923076923    ;    0
2022-01-25@23-37-57    ;    39.23076923076923    ;    0
2022-01-25@23-43-03    ;    39.23076923076923    ;    0
2022-01-25@23-48-08    ;    39.23076923076923    ;    0
2022-01-25@23-53-14    ;    39.23076923076923    ;    0
2022-01-25@23-58-20    ;    39.23076923076923    ;    0
2022-01-26@00-03-25    ;    39.23076923076923    ;    0
2022-01-26@00-08-33    ;    39.23076923076923    ;    0
2022-01-26@00-13-38    ;    39.61538461538461    ;    0
2022-01-26@00-18-47    ;    39.61538461538461    ;    0
2022-01-26@00-23-53    ;    39.61538461538461    ;    0
2022-01-26@00-29-00    ;    39.61538461538461    ;    0
2022-01-26@00-34-06    ;    39.61538461538461    ;    0
2022-01-26@00-39-11    ;    39.61538461538461    ;    0
2022-01-26@00-44-17    ;    39.61538461538461    ;    0
2022-01-26@08-11-11    ;    32.69230769230769    ;    0
2022-01-26@08-16-23    ;    32.69230769230769    ;    0
2022-01-26@08-22-01    ;    32.69230769230769    ;    0
2022-01-26@08-27-12    ;    32.69230769230769    ;    0
2022-01-26@08-32-29    ;    31.92307692307692    ;    0
2022-01-26@08-37-39    ;    30.76923076923077    ;    0
2022-01-26@08-42-51    ;    30.76923076923077    ;    0
2022-01-26@08-48-05    ;    30.76923076923077    ;    0
2022-01-26@08-53-18    ;    30.384615384615383    ;    0
2022-01-26@09-00-16    ;    30.0    ;    0
2022-01-26@09-05-27    ;    29.230769230769234    ;    0
2022-01-26@09-10-43    ;    29.230769230769234    ;    0
2022-01-26@09-15-53    ;    29.230769230769234    ;    0
2022-01-26@09-19-45    ;    29.230769230769234    ;    0
2022-01-26@09-24-55    ;    28.846153846153843    ;    0
2022-01-26@09-30-05    ;    28.076923076923077    ;    0
2022-01-26@09-35-33    ;    28.46153846153846    ;    0
2022-01-26@09-40-53    ;    28.46153846153846    ;    0
2022-01-26@09-46-08    ;    27.692307692307693    ;    0
2022-01-26@09-51-24    ;    27.692307692307693    ;    0
2022-01-26@09-56-54    ;    27.692307692307693    ;    0
2022-01-26@10-02-05    ;    27.692307692307693    ;    0
2022-01-26@10-07-32    ;    27.692307692307693    ;    0
2022-01-26@10-12-44    ;    27.692307692307693    ;    0
2022-01-26@10-18-05    ;    27.307692307692307    ;    0
2022-01-26@10-23-25    ;    27.307692307692307    ;    0
2022-01-26@10-28-42    ;    27.307692307692307    ;    0
2022-01-26@10-34-25    ;    27.307692307692307    ;    0
2022-01-26@10-40-06    ;    27.307692307692307    ;    0
2022-01-26@10-45-44    ;    26.923076923076923    ;    0
2022-01-26@10-51-03    ;    27.307692307692307    ;    0
2022-01-26@10-56-23    ;    27.692307692307693    ;    0
2022-01-26@11-01-51    ;    27.307692307692307    ;    0
2022-01-26@11-07-18    ;    27.307692307692307    ;    0
2022-01-26@11-12-31    ;    27.307692307692307    ;    0
2022-01-26@11-17-52    ;    27.307692307692307    ;    0
2022-01-26@11-23-50    ;    27.307692307692307    ;    0
2022-01-26@11-29-15    ;    27.307692307692307    ;    0
2022-01-26@11-34-50    ;    26.923076923076923    ;    0
2022-01-26@11-40-07    ;    26.923076923076923    ;    0
2022-01-26@11-45-34    ;    26.923076923076923    ;    0
2022-01-26@11-51-01    ;    26.923076923076923    ;    0
2022-01-26@11-56-12    ;    26.53846153846154    ;    0
2022-01-26@12-01-42    ;    26.923076923076923    ;    0
2022-01-26@12-07-36    ;    27.307692307692307    ;    0
2022-01-26@12-43-33    ;    28.076923076923077    ;    0
2022-01-26@12-48-46    ;    27.692307692307693    ;    0
2022-01-26@12-54-05    ;    27.692307692307693    ;    0
2022-01-26@12-59-20    ;    28.076923076923077    ;    0
2022-01-26@13-04-30    ;    28.846153846153843    ;    0
2022-01-26@13-09-40    ;    28.846153846153843    ;    0
2022-01-26@13-15-00    ;    28.846153846153843    ;    0
2022-01-26@13-20-12    ;    28.846153846153843    ;    0
2022-01-26@13-25-23    ;    28.846153846153843    ;    0
2022-01-26@13-30-42    ;    28.846153846153843    ;    0
2022-01-26@13-36-29    ;    29.230769230769234    ;    0
2022-01-26@13-42-09    ;    28.846153846153843    ;    0
2022-01-26@13-47-38    ;    28.846153846153843    ;    0
2022-01-26@13-52-54    ;    29.615384615384617    ;    0
2022-01-26@15-30-05    ;    30.0    ;    0
2022-01-26@15-35-25    ;    30.0    ;    0
2022-01-26@15-40-33    ;    30.384615384615383    ;    0
2022-01-26@15-45-39    ;    30.384615384615383    ;    0
2022-01-26@15-50-48    ;    30.384615384615383    ;    0
2022-01-26@15-55-54    ;    31.153846153846153    ;    0
2022-01-26@16-01-00    ;    31.153846153846153    ;    0
2022-01-26@16-06-08    ;    31.153846153846153    ;    0
