#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-22    ;    48.75    ;    0
2022-01-25@22-31-28    ;    48.75    ;    0
2022-01-25@22-36-34    ;    48.75    ;    0
2022-01-25@22-41-43    ;    48.75    ;    0
2022-01-25@22-46-48    ;    48.75    ;    0
2022-01-25@22-51-54    ;    48.75    ;    0
2022-01-25@22-57-03    ;    48.75    ;    0
2022-01-25@23-02-09    ;    48.75    ;    0
2022-01-25@23-07-15    ;    48.75    ;    0
2022-01-25@23-12-21    ;    48.75    ;    0
2022-01-25@23-17-26    ;    48.75    ;    0
2022-01-25@23-22-32    ;    48.75    ;    0
2022-01-25@23-27-37    ;    48.75    ;    0
2022-01-25@23-32-48    ;    48.75    ;    0
2022-01-25@23-37-53    ;    48.75    ;    0
2022-01-25@23-43-00    ;    48.75    ;    0
2022-01-25@23-48-06    ;    48.75    ;    0
2022-01-25@23-53-12    ;    48.75    ;    0
2022-01-25@23-58-17    ;    48.75    ;    0
2022-01-26@00-03-23    ;    48.75    ;    0
2022-01-26@00-08-28    ;    48.75    ;    0
2022-01-26@00-13-36    ;    48.75    ;    0
2022-01-26@00-18-45    ;    48.75    ;    0
2022-01-26@00-23-50    ;    48.75    ;    0
2022-01-26@00-28-58    ;    48.75    ;    0
2022-01-26@00-34-03    ;    48.75    ;    0
2022-01-26@00-39-09    ;    48.75    ;    0
2022-01-26@00-44-14    ;    48.75    ;    0
2022-01-26@00-49-20    ;    48.75    ;    0
2022-01-26@08-10-55    ;    48.75    ;    0
2022-01-26@08-16-19    ;    48.75    ;    0
2022-01-26@08-21-46    ;    48.75    ;    0
2022-01-26@08-27-08    ;    48.75    ;    0
2022-01-26@08-28-58    ;    48.75    ;    0
2022-01-26@08-32-24    ;    48.75    ;    0
2022-01-26@08-37-34    ;    48.75    ;    0
2022-01-26@08-42-46    ;    48.75    ;    0
2022-01-26@08-47-57    ;    48.75    ;    0
2022-01-26@08-53-13    ;    48.75    ;    0
2022-01-26@09-00-06    ;    48.75    ;    0
2022-01-26@09-05-22    ;    48.75    ;    0
2022-01-26@09-10-35    ;    48.75    ;    0
2022-01-26@09-15-49    ;    48.75    ;    0
2022-01-26@09-19-40    ;    48.75    ;    0
2022-01-26@09-24-51    ;    48.75    ;    0
2022-01-26@09-30-01    ;    48.75    ;    0
2022-01-26@09-35-16    ;    48.75    ;    0
2022-01-26@09-40-48    ;    48.75    ;    0
2022-01-26@09-46-03    ;    48.75    ;    0
2022-01-26@09-51-19    ;    48.75    ;    0
2022-01-26@09-56-30    ;    48.75    ;    0
2022-01-26@10-02-00    ;    48.75    ;    0
2022-01-26@10-07-20    ;    48.75    ;    0
2022-01-26@10-12-38    ;    48.75    ;    0
2022-01-26@10-17-51    ;    48.75    ;    0
2022-01-26@10-23-13    ;    48.75    ;    0
2022-01-26@10-28-35    ;    48.75    ;    0
2022-01-26@10-34-12    ;    48.75    ;    0
2022-01-26@10-39-44    ;    48.75    ;    0
2022-01-26@10-45-24    ;    48.75    ;    0
2022-01-26@10-50-59    ;    48.75    ;    0
2022-01-26@10-56-13    ;    48.75    ;    0
2022-01-26@11-01-35    ;    48.75    ;    0
2022-01-26@11-07-04    ;    48.75    ;    0
2022-01-26@11-12-26    ;    48.75    ;    0
2022-01-26@11-17-47    ;    48.75    ;    0
2022-01-26@11-23-40    ;    48.75    ;    0
2022-01-26@11-29-02    ;    48.75    ;    0
2022-01-26@11-34-32    ;    48.75    ;    0
2022-01-26@11-39-55    ;    48.75    ;    0
2022-01-26@11-45-25    ;    48.75    ;    0
2022-01-26@11-50-47    ;    48.75    ;    0
2022-01-26@11-56-07    ;    48.75    ;    0
2022-01-26@12-01-32    ;    48.75    ;    0
2022-01-26@12-07-05    ;    48.75    ;    0
2022-01-26@12-43-28    ;    48.75    ;    0
2022-01-26@12-48-40    ;    48.75    ;    0
2022-01-26@12-53-59    ;    48.75    ;    0
2022-01-26@12-59-10    ;    48.75    ;    0
2022-01-26@13-04-26    ;    48.75    ;    0
2022-01-26@13-09-36    ;    48.75    ;    0
2022-01-26@13-14-53    ;    48.75    ;    0
2022-01-26@13-20-07    ;    48.75    ;    0
2022-01-26@13-25-19    ;    48.75    ;    0
2022-01-26@13-30-38    ;    48.75    ;    0
2022-01-26@13-36-10    ;    48.75    ;    0
2022-01-26@13-41-49    ;    48.75    ;    0
2022-01-26@13-47-27    ;    48.75    ;    0
2022-01-26@13-52-47    ;    48.75    ;    0
2022-01-26@15-28-40    ;    48.75    ;    0
2022-01-26@15-35-19    ;    48.75    ;    0
2022-01-26@15-40-29    ;    48.75    ;    0
2022-01-26@15-45-36    ;    48.75    ;    0
2022-01-26@15-50-44    ;    48.75    ;    0
2022-01-26@15-55-52    ;    48.75    ;    0
2022-01-26@16-00-58    ;    48.75    ;    0
2022-01-26@16-06-05    ;    48.75    ;    0
