#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-20    ;    42.15568862275449    ;    41.66666666666667
2022-01-25@22-31-26    ;    43.11377245508982    ;    41.66666666666667
2022-01-25@22-36-32    ;    43.35329341317365    ;    41.66666666666667
2022-01-25@22-41-41    ;    44.19161676646707    ;    41.66666666666667
2022-01-25@22-46-46    ;    45.74850299401197    ;    45.83333333333333
2022-01-25@22-51-52    ;    45.868263473053894    ;    45.83333333333333
2022-01-25@22-56-58    ;    47.54491017964072    ;    45.83333333333333
2022-01-25@23-02-07    ;    49.34131736526946    ;    45.83333333333333
2022-01-25@23-07-13    ;    51.25748502994012    ;    45.83333333333333
2022-01-25@23-12-19    ;    51.73652694610779    ;    45.83333333333333
2022-01-25@23-17-24    ;    53.053892215568865    ;    45.83333333333333
2022-01-25@23-22-30    ;    53.77245508982036    ;    45.83333333333333
2022-01-25@23-27-35    ;    54.131736526946106    ;    45.83333333333333
2022-01-25@23-32-46    ;    55.32934131736526    ;    45.83333333333333
2022-01-25@23-37-51    ;    56.04790419161677    ;    45.83333333333333
2022-01-25@23-42-58    ;    56.16766467065868    ;    45.83333333333333
2022-01-25@23-48-04    ;    56.64670658682635    ;    45.83333333333333
2022-01-25@23-53-10    ;    57.125748502994014    ;    45.83333333333333
2022-01-25@23-58-15    ;    58.44311377245509    ;    45.83333333333333
2022-01-26@00-03-21    ;    58.92215568862276    ;    41.66666666666667
2022-01-26@00-08-26    ;    59.64071856287425    ;    41.66666666666667
2022-01-26@00-13-34    ;    60.95808383233533    ;    41.66666666666667
2022-01-26@00-18-43    ;    61.43712574850299    ;    41.66666666666667
2022-01-26@00-23-48    ;    62.15568862275449    ;    41.66666666666667
2022-01-26@00-28-54    ;    62.874251497005986    ;    41.66666666666667
2022-01-26@00-34-01    ;    63.233532934131745    ;    41.66666666666667
2022-01-26@00-39-07    ;    63.35329341317365    ;    41.66666666666667
2022-01-26@00-44-12    ;    64.31137724550898    ;    41.66666666666667
2022-01-26@00-49-19    ;    64.43113772455091    ;    41.66666666666667
2022-01-26@08-10-44    ;    62.27544910179641    ;    66.66666666666666
2022-01-26@08-16-16    ;    61.67664670658682    ;    62.5
2022-01-26@08-21-29    ;    61.43712574850299    ;    70.83333333333334
2022-01-26@08-27-04    ;    60.83832335329341    ;    70.83333333333334
2022-01-26@08-28-27    ;    60.71856287425149    ;    70.83333333333334
2022-01-26@08-28-51    ;    60.71856287425149    ;    70.83333333333334
2022-01-26@08-32-21    ;    60.119760479041915    ;    70.83333333333334
2022-01-26@08-37-31    ;    59.2814371257485    ;    70.83333333333334
2022-01-26@08-42-43    ;    59.04191616766467    ;    70.83333333333334
2022-01-26@08-47-54    ;    58.92215568862276    ;    70.83333333333334
2022-01-26@08-53-08    ;    58.203592814371255    ;    70.83333333333334
2022-01-26@08-59-49    ;    57.00598802395209    ;    70.83333333333334
2022-01-26@09-05-19    ;    55.92814371257485    ;    70.83333333333334
2022-01-26@09-10-31    ;    54.8502994011976    ;    66.66666666666666
2022-01-26@09-15-45    ;    54.8502994011976    ;    66.66666666666666
2022-01-26@09-19-36    ;    54.25149700598803    ;    66.66666666666666
2022-01-26@09-24-47    ;    52.93413173652694    ;    66.66666666666666
2022-01-26@09-29-57    ;    51.8562874251497    ;    66.66666666666666
2022-01-26@09-35-08    ;    51.1377245508982    ;    66.66666666666666
2022-01-26@09-40-44    ;    49.94011976047904    ;    66.66666666666666
2022-01-26@09-45-55    ;    49.58083832335329    ;    66.66666666666666
2022-01-26@09-51-13    ;    47.185628742514965    ;    66.66666666666666
2022-01-26@09-56-26    ;    45.98802395209581    ;    66.66666666666666
