#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-20    ;    51.162790697674424    ;    50.0
2022-01-25@22-31-26    ;    51.162790697674424    ;    50.0
2022-01-25@22-36-32    ;    51.3953488372093    ;    50.0
2022-01-25@22-41-41    ;    52.093023255813954    ;    50.0
2022-01-25@22-46-47    ;    52.093023255813954    ;    41.66666666666667
2022-01-25@22-51-53    ;    52.32558139534884    ;    41.66666666666667
2022-01-25@22-56-58    ;    52.32558139534884    ;    41.66666666666667
2022-01-25@23-02-07    ;    52.32558139534884    ;    41.66666666666667
2022-01-25@23-07-13    ;    52.32558139534884    ;    41.66666666666667
2022-01-25@23-12-19    ;    52.79069767441861    ;    41.66666666666667
2022-01-25@23-17-24    ;    53.25581395348837    ;    41.66666666666667
2022-01-25@23-22-30    ;    54.65116279069767    ;    41.66666666666667
2022-01-25@23-27-36    ;    54.65116279069767    ;    41.66666666666667
2022-01-25@23-32-46    ;    54.65116279069767    ;    41.66666666666667
2022-01-25@23-37-52    ;    54.88372093023256    ;    41.66666666666667
2022-01-25@23-42-58    ;    54.65116279069767    ;    33.33333333333333
2022-01-25@23-48-04    ;    54.65116279069767    ;    33.33333333333333
2022-01-25@23-53-10    ;    54.65116279069767    ;    33.33333333333333
2022-01-25@23-58-16    ;    54.88372093023256    ;    33.33333333333333
2022-01-26@00-03-21    ;    54.88372093023256    ;    33.33333333333333
2022-01-26@00-08-26    ;    55.58139534883721    ;    33.33333333333333
2022-01-26@00-13-34    ;    55.58139534883721    ;    25.0
2022-01-26@00-18-43    ;    55.58139534883721    ;    25.0
2022-01-26@00-23-49    ;    55.81395348837209    ;    25.0
2022-01-26@00-28-56    ;    56.27906976744186    ;    25.0
2022-01-26@00-34-02    ;    56.51162790697675    ;    25.0
2022-01-26@00-39-07    ;    56.74418604651162    ;    25.0
2022-01-26@00-44-13    ;    56.97674418604651    ;    25.0
2022-01-26@00-49-19    ;    57.20930232558139    ;    25.0
2022-01-26@08-10-45    ;    62.7906976744186    ;    41.66666666666667
2022-01-26@08-16-16    ;    62.32558139534884    ;    41.66666666666667
2022-01-26@08-21-31    ;    62.32558139534884    ;    41.66666666666667
