#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-23    ;    67.45098039215686    ;    62.5
2022-01-25@22-31-29    ;    67.45098039215686    ;    62.5
2022-01-25@22-36-35    ;    67.45098039215686    ;    62.5
2022-01-25@22-41-44    ;    67.45098039215686    ;    62.5
2022-01-25@22-46-50    ;    68.23529411764706    ;    62.5
2022-01-25@22-51-56    ;    68.23529411764706    ;    62.5
2022-01-25@22-57-05    ;    68.23529411764706    ;    62.5
2022-01-25@23-02-10    ;    68.23529411764706    ;    62.5
2022-01-25@23-07-16    ;    68.23529411764706    ;    62.5
2022-01-25@23-12-22    ;    68.23529411764706    ;    62.5
2022-01-25@23-17-27    ;    68.23529411764706    ;    62.5
2022-01-25@23-22-33    ;    68.23529411764706    ;    62.5
2022-01-25@23-27-42    ;    68.23529411764706    ;    62.5
2022-01-25@23-32-49    ;    68.23529411764706    ;    62.5
2022-01-25@23-37-56    ;    68.23529411764706    ;    62.5
2022-01-25@23-43-01    ;    68.23529411764706    ;    62.5
2022-01-25@23-48-07    ;    68.23529411764706    ;    62.5
2022-01-25@23-53-13    ;    68.23529411764706    ;    62.5
2022-01-25@23-58-19    ;    68.23529411764706    ;    62.5
2022-01-26@00-03-24    ;    68.23529411764706    ;    62.5
2022-01-26@00-08-32    ;    68.23529411764706    ;    62.5
2022-01-26@00-13-37    ;    68.23529411764706    ;    62.5
2022-01-26@00-18-46    ;    68.23529411764706    ;    62.5
2022-01-26@00-23-52    ;    68.23529411764706    ;    62.5
2022-01-26@00-28-59    ;    68.23529411764706    ;    62.5
2022-01-26@00-34-05    ;    68.23529411764706    ;    62.5
2022-01-26@00-39-10    ;    68.23529411764706    ;    62.5
2022-01-26@00-44-16    ;    68.23529411764706    ;    62.5
2022-01-26@00-49-22    ;    68.23529411764706    ;    62.5
2022-01-26@08-11-04    ;    58.43137254901961    ;    62.5
2022-01-26@08-16-21    ;    57.25490196078431    ;    62.5
2022-01-26@08-21-58    ;    56.470588235294116    ;    50.0
2022-01-26@08-27-10    ;    56.07843137254902    ;    50.0
2022-01-26@08-29-01    ;    56.07843137254902    ;    50.0
2022-01-26@08-32-27    ;    55.68627450980392    ;    50.0
2022-01-26@08-37-37    ;    54.90196078431373    ;    50.0
