#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-20    ;    80.94435075885329    ;    0
2022-01-25@22-31-26    ;    80.94435075885329    ;    0
2022-01-25@22-36-32    ;    81.11298482293424    ;    0
2022-01-25@22-41-41    ;    81.11298482293424    ;    0
2022-01-25@22-46-47    ;    81.11298482293424    ;    0
2022-01-25@22-51-53    ;    81.11298482293424    ;    0
2022-01-25@22-56-59    ;    81.11298482293424    ;    0
2022-01-25@23-02-07    ;    81.28161888701517    ;    0
2022-01-25@23-07-13    ;    81.28161888701517    ;    0
2022-01-25@23-12-19    ;    81.28161888701517    ;    0
2022-01-25@23-17-25    ;    81.28161888701517    ;    0
2022-01-25@23-22-30    ;    81.28161888701517    ;    0
2022-01-25@23-27-36    ;    81.28161888701517    ;    0
2022-01-25@23-32-46    ;    81.28161888701517    ;    0
2022-01-25@23-37-52    ;    81.28161888701517    ;    0
2022-01-25@23-42-58    ;    81.28161888701517    ;    0
2022-01-25@23-48-05    ;    81.28161888701517    ;    0
2022-01-25@23-53-10    ;    81.28161888701517    ;    0
2022-01-25@23-58-16    ;    81.28161888701517    ;    0
2022-01-26@00-03-21    ;    81.28161888701517    ;    0
2022-01-26@00-08-27    ;    81.28161888701517    ;    0
2022-01-26@00-13-34    ;    81.28161888701517    ;    0
2022-01-26@00-18-43    ;    81.28161888701517    ;    0
2022-01-26@00-23-49    ;    81.28161888701517    ;    0
2022-01-26@00-28-57    ;    81.28161888701517    ;    0
2022-01-26@00-34-02    ;    81.28161888701517    ;    0
2022-01-26@00-39-07    ;    81.28161888701517    ;    0
2022-01-26@00-44-13    ;    81.28161888701517    ;    0
2022-01-26@00-49-19    ;    81.28161888701517    ;    0
2022-01-26@08-10-46    ;    72.17537942664418    ;    0
2022-01-26@08-16-17    ;    71.8381112984823    ;    0
2022-01-26@08-21-36    ;    71.66947723440134    ;    0
2022-01-26@08-27-05    ;    70.32040472175379    ;    0
2022-01-26@08-28-28    ;    69.30860033726813    ;    0
2022-01-26@08-28-51    ;    69.30860033726813    ;    0
2022-01-26@08-32-22    ;    68.97133220910624    ;    0
2022-01-26@08-37-31    ;    65.93591905564924    ;    0
2022-01-26@08-42-43    ;    64.75548060708263    ;    0
2022-01-26@08-47-54    ;    64.08094435075886    ;    0
2022-01-26@08-53-09    ;    61.88870151770658    ;    0
2022-01-26@09-00-02    ;    59.527824620573355    ;    0
