#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-20    ;    20.37037037037037    ;    75.0
2022-01-25@22-31-26    ;    21.296296296296298    ;    75.0
2022-01-25@22-36-32    ;    22.22222222222222    ;    75.0
2022-01-25@22-41-41    ;    22.037037037037038    ;    75.0
2022-01-25@22-46-47    ;    23.333333333333332    ;    75.0
2022-01-25@22-51-53    ;    24.25925925925926    ;    75.0
2022-01-25@22-57-00    ;    25.37037037037037    ;    75.0
2022-01-25@23-02-07    ;    25.74074074074074    ;    75.0
2022-01-25@23-07-14    ;    26.666666666666668    ;    75.0
2022-01-25@23-12-19    ;    28.14814814814815    ;    75.0
2022-01-25@23-17-25    ;    29.259259259259256    ;    75.0
2022-01-25@23-22-31    ;    31.11111111111111    ;    75.0
2022-01-25@23-27-36    ;    31.851851851851855    ;    75.0
2022-01-25@23-32-46    ;    33.33333333333333    ;    75.0
2022-01-25@23-37-52    ;    33.88888888888889    ;    75.0
2022-01-25@23-42-59    ;    33.88888888888889    ;    75.0
2022-01-25@23-48-05    ;    34.629629629629626    ;    75.0
2022-01-25@23-53-11    ;    35.92592592592593    ;    75.0
2022-01-25@23-58-16    ;    36.2962962962963    ;    75.0
2022-01-26@00-03-21    ;    37.22222222222222    ;    75.0
2022-01-26@00-08-27    ;    37.96296296296296    ;    75.0
2022-01-26@00-13-35    ;    38.333333333333336    ;    75.0
2022-01-26@00-18-43    ;    38.148148148148145    ;    75.0
2022-01-26@00-23-49    ;    39.25925925925926    ;    75.0
2022-01-26@00-28-57    ;    39.25925925925926    ;    75.0
2022-01-26@00-34-02    ;    39.44444444444444    ;    75.0
2022-01-26@00-39-08    ;    39.44444444444444    ;    75.0
2022-01-26@00-44-13    ;    39.81481481481482    ;    75.0
2022-01-26@00-49-19    ;    40.370370370370374    ;    75.0
2022-01-26@08-10-47    ;    49.25925925925926    ;    12.5
2022-01-26@08-16-17    ;    48.148148148148145    ;    12.5
2022-01-26@08-21-37    ;    47.77777777777778    ;    12.5
2022-01-26@08-27-05    ;    48.333333333333336    ;    12.5
2022-01-26@08-28-28    ;    48.333333333333336    ;    12.5
2022-01-26@08-28-52    ;    48.333333333333336    ;    12.5
2022-01-26@08-32-22    ;    48.888888888888886    ;    12.5
2022-01-26@08-37-32    ;    48.7037037037037    ;    12.5
2022-01-26@08-42-44    ;    47.40740740740741    ;    12.5
2022-01-26@08-47-55    ;    46.85185185185185    ;    12.5
2022-01-26@08-53-10    ;    46.666666666666664    ;    25.0
2022-01-26@09-00-03    ;    46.48148148148148    ;    25.0
2022-01-26@09-05-20    ;    46.111111111111114    ;    25.0
2022-01-26@09-10-33    ;    45.370370370370374    ;    25.0
2022-01-26@09-15-46    ;    44.81481481481481    ;    25.0
2022-01-26@09-19-37    ;    43.7037037037037    ;    25.0
2022-01-26@09-24-48    ;    43.888888888888886    ;    25.0
2022-01-26@09-29-59    ;    43.51851851851852    ;    25.0
2022-01-26@09-35-09    ;    41.66666666666667    ;    25.0
2022-01-26@09-40-45    ;    41.66666666666667    ;    25.0
2022-01-26@09-45-57    ;    40.0    ;    25.0
2022-01-26@09-51-14    ;    38.333333333333336    ;    25.0
2022-01-26@09-56-28    ;    37.407407407407405    ;    25.0
2022-01-26@10-01-58    ;    35.92592592592593    ;    25.0
2022-01-26@10-07-09    ;    35.55555555555556    ;    25.0
2022-01-26@10-12-36    ;    34.81481481481482    ;    25.0
2022-01-26@10-17-48    ;    34.81481481481482    ;    25.0
2022-01-26@10-23-09    ;    33.88888888888889    ;    25.0
2022-01-26@10-28-30    ;    32.77777777777778    ;    25.0
2022-01-26@10-33-58    ;    31.296296296296294    ;    25.0
2022-01-26@10-39-37    ;    31.296296296296294    ;    37.5
2022-01-26@10-45-14    ;    30.74074074074074    ;    37.5
