#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-21    ;    21.06382978723404    ;    50.0
2022-01-25@22-31-26    ;    21.48936170212766    ;    50.0
2022-01-25@22-36-32    ;    21.48936170212766    ;    50.0
2022-01-25@22-41-41    ;    22.127659574468083    ;    50.0
2022-01-25@22-46-47    ;    22.5531914893617    ;    50.0
2022-01-25@22-51-53    ;    23.19148936170213    ;    50.0
2022-01-25@22-57-00    ;    23.19148936170213    ;    50.0
2022-01-25@23-02-08    ;    22.97872340425532    ;    50.0
2022-01-25@23-07-14    ;    22.97872340425532    ;    50.0
2022-01-25@23-12-20    ;    22.97872340425532    ;    50.0
2022-01-25@23-17-25    ;    22.97872340425532    ;    50.0
2022-01-25@23-22-31    ;    24.04255319148936    ;    50.0
2022-01-25@23-27-36    ;    24.25531914893617    ;    50.0
2022-01-25@23-32-46    ;    24.680851063829788    ;    50.0
2022-01-25@23-37-52    ;    24.46808510638298    ;    50.0
2022-01-25@23-42-59    ;    24.46808510638298    ;    50.0
2022-01-25@23-48-05    ;    24.46808510638298    ;    50.0
2022-01-25@23-53-11    ;    25.106382978723403    ;    50.0
2022-01-25@23-58-16    ;    25.106382978723403    ;    62.5
2022-01-26@00-03-22    ;    25.106382978723403    ;    62.5
2022-01-26@00-08-27    ;    25.53191489361702    ;    62.5
2022-01-26@00-13-35    ;    25.744680851063826    ;    62.5
2022-01-26@00-18-44    ;    25.744680851063826    ;    62.5
2022-01-26@00-23-49    ;    25.744680851063826    ;    62.5
2022-01-26@00-28-57    ;    25.744680851063826    ;    62.5
2022-01-26@00-34-02    ;    25.957446808510635    ;    62.5
2022-01-26@00-39-08    ;    25.744680851063826    ;    62.5
2022-01-26@00-44-13    ;    25.744680851063826    ;    62.5
2022-01-26@00-49-19    ;    25.744680851063826    ;    62.5
2022-01-26@08-10-49    ;    27.02127659574468    ;    87.5
2022-01-26@08-16-17    ;    27.4468085106383    ;    87.5
2022-01-26@08-21-38    ;    27.872340425531917    ;    87.5
2022-01-26@08-27-06    ;    27.23404255319149    ;    62.5
2022-01-26@08-28-28    ;    27.23404255319149    ;    62.5
2022-01-26@08-28-55    ;    27.23404255319149    ;    62.5
2022-01-26@08-32-22    ;    27.23404255319149    ;    62.5
2022-01-26@08-37-32    ;    27.23404255319149    ;    62.5
2022-01-26@08-42-44    ;    27.23404255319149    ;    62.5
2022-01-26@08-47-55    ;    26.80851063829787    ;    62.5
2022-01-26@08-53-10    ;    27.23404255319149    ;    62.5
2022-01-26@09-00-03    ;    26.170212765957444    ;    62.5
2022-01-26@09-05-20    ;    26.170212765957444    ;    62.5
2022-01-26@09-10-33    ;    25.744680851063826    ;    62.5
2022-01-26@09-15-47    ;    25.957446808510635    ;    75.0
2022-01-26@09-19-38    ;    24.893617021276597    ;    75.0
2022-01-26@09-24-49    ;    25.106382978723403    ;    75.0
2022-01-26@09-29-59    ;    25.319148936170212    ;    75.0
2022-01-26@09-35-12    ;    25.53191489361702    ;    75.0
2022-01-26@09-40-46    ;    25.319148936170212    ;    75.0
2022-01-26@09-45-57    ;    25.106382978723403    ;    87.5
2022-01-26@09-51-15    ;    25.106382978723403    ;    87.5
2022-01-26@09-56-28    ;    24.46808510638298    ;    87.5
2022-01-26@10-01-58    ;    24.04255319148936    ;    87.5
2022-01-26@10-07-12    ;    22.340425531914892    ;    87.5
2022-01-26@10-12-36    ;    21.06382978723404    ;    87.5
2022-01-26@10-17-48    ;    20.425531914893615    ;    87.5
2022-01-26@10-23-09    ;    20.638297872340424    ;    87.5
2022-01-26@10-28-32    ;    19.78723404255319    ;    87.5
2022-01-26@10-34-04    ;    18.93617021276596    ;    87.5
2022-01-26@10-39-39    ;    18.72340425531915    ;    87.5
2022-01-26@10-45-17    ;    18.93617021276596    ;    87.5
2022-01-26@10-50-57    ;    18.51063829787234    ;    87.5
2022-01-26@10-56-10    ;    19.361702127659576    ;    87.5
2022-01-26@11-01-29    ;    18.93617021276596    ;    87.5
2022-01-26@11-06-59    ;    19.574468085106382    ;    87.5
2022-01-26@11-12-25    ;    18.51063829787234    ;    87.5
2022-01-26@11-17-45    ;    18.72340425531915    ;    87.5
2022-01-26@11-23-01    ;    18.51063829787234    ;    87.5
2022-01-26@11-28-58    ;    17.4468085106383    ;    87.5
