#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-22    ;    76.20253164556962    ;    37.5
2022-01-25@22-31-28    ;    76.20253164556962    ;    37.5
2022-01-25@22-36-34    ;    76.20253164556962    ;    25.0
2022-01-25@22-41-43    ;    76.20253164556962    ;    25.0
2022-01-25@22-46-49    ;    76.20253164556962    ;    25.0
2022-01-25@22-51-55    ;    76.20253164556962    ;    25.0
2022-01-25@22-57-04    ;    76.20253164556962    ;    25.0
2022-01-25@23-02-09    ;    76.20253164556962    ;    25.0
2022-01-25@23-07-15    ;    76.20253164556962    ;    25.0
2022-01-25@23-12-21    ;    76.20253164556962    ;    25.0
2022-01-25@23-17-27    ;    76.20253164556962    ;    25.0
2022-01-25@23-22-32    ;    76.20253164556962    ;    25.0
2022-01-25@23-27-41    ;    76.20253164556962    ;    25.0
2022-01-25@23-32-48    ;    76.20253164556962    ;    25.0
2022-01-25@23-37-54    ;    76.20253164556962    ;    25.0
2022-01-25@23-43-00    ;    76.45569620253164    ;    25.0
2022-01-25@23-48-07    ;    76.45569620253164    ;    25.0
2022-01-25@23-53-12    ;    76.45569620253164    ;    25.0
2022-01-25@23-58-18    ;    76.45569620253164    ;    25.0
2022-01-26@00-03-23    ;    76.70886075949367    ;    25.0
2022-01-26@00-08-28    ;    76.70886075949367    ;    25.0
2022-01-26@00-13-37    ;    76.70886075949367    ;    25.0
2022-01-26@00-18-45    ;    76.70886075949367    ;    25.0
2022-01-26@00-23-51    ;    76.9620253164557    ;    25.0
2022-01-26@00-28-58    ;    76.9620253164557    ;    25.0
2022-01-26@00-34-04    ;    76.9620253164557    ;    25.0
2022-01-26@00-39-09    ;    76.9620253164557    ;    25.0
2022-01-26@00-44-15    ;    76.9620253164557    ;    25.0
2022-01-26@00-49-21    ;    76.9620253164557    ;    25.0
2022-01-26@08-10-58    ;    67.59493670886076    ;    12.5
2022-01-26@08-16-20    ;    67.34177215189874    ;    0.0
2022-01-26@08-21-49    ;    67.08860759493672    ;    12.5
2022-01-26@08-27-08    ;    65.82278481012658    ;    12.5
2022-01-26@08-28-59    ;    65.82278481012658    ;    12.5
2022-01-26@08-32-25    ;    65.56962025316456    ;    12.5
2022-01-26@08-37-35    ;    64.55696202531645    ;    12.5
2022-01-26@08-42-47    ;    64.55696202531645    ;    12.5
2022-01-26@08-47-58    ;    64.0506329113924    ;    12.5
2022-01-26@08-53-14    ;    63.54430379746835    ;    12.5
2022-01-26@09-00-08    ;    61.77215189873417    ;    12.5
2022-01-26@09-05-23    ;    61.518987341772146    ;    12.5
2022-01-26@09-10-36    ;    61.518987341772146    ;    12.5
2022-01-26@09-15-49    ;    61.26582278481013    ;    12.5
2022-01-26@09-19-41    ;    61.26582278481013    ;    12.5
2022-01-26@09-24-52    ;    60.75949367088608    ;    12.5
2022-01-26@09-30-02    ;    59.49367088607595    ;    25.0
2022-01-26@09-35-17    ;    59.24050632911393    ;    25.0
2022-01-26@09-40-49    ;    58.9873417721519    ;    25.0
2022-01-26@09-46-04    ;    58.734177215189874    ;    25.0
2022-01-26@09-51-19    ;    58.22784810126582    ;    25.0
2022-01-26@09-56-31    ;    57.974683544303794    ;    25.0
2022-01-26@10-02-01    ;    57.974683544303794    ;    25.0
2022-01-26@10-07-21    ;    57.974683544303794    ;    25.0
2022-01-26@10-12-39    ;    57.21518987341773    ;    25.0
2022-01-26@10-17-52    ;    57.21518987341773    ;    25.0
2022-01-26@10-23-21    ;    57.21518987341773    ;    25.0
2022-01-26@10-28-36    ;    56.9620253164557    ;    25.0
2022-01-26@10-34-14    ;    56.9620253164557    ;    25.0
2022-01-26@10-39-48    ;    57.21518987341773    ;    25.0
2022-01-26@10-45-26    ;    57.21518987341773    ;    25.0
2022-01-26@10-51-00    ;    57.21518987341773    ;    25.0
2022-01-26@10-56-14    ;    57.46835443037974    ;    25.0
2022-01-26@11-01-37    ;    57.46835443037974    ;    25.0
2022-01-26@11-07-09    ;    57.46835443037974    ;    25.0
2022-01-26@11-12-27    ;    57.72151898734177    ;    25.0
2022-01-26@11-17-48    ;    57.72151898734177    ;    25.0
2022-01-26@11-23-41    ;    57.72151898734177    ;    25.0
2022-01-26@11-29-03    ;    57.974683544303794    ;    25.0
2022-01-26@11-34-33    ;    57.72151898734177    ;    25.0
2022-01-26@11-39-56    ;    57.72151898734177    ;    25.0
2022-01-26@11-45-27    ;    57.974683544303794    ;    25.0
2022-01-26@11-50-50    ;    57.974683544303794    ;    25.0
2022-01-26@11-56-08    ;    57.974683544303794    ;    25.0
2022-01-26@12-01-34    ;    57.72151898734177    ;    25.0
2022-01-26@12-07-16    ;    57.46835443037974    ;    25.0
2022-01-26@12-43-29    ;    57.974683544303794    ;    25.0
2022-01-26@12-48-41    ;    57.72151898734177    ;    25.0
2022-01-26@12-54-00    ;    57.21518987341773    ;    25.0
2022-01-26@12-59-11    ;    56.9620253164557    ;    25.0
2022-01-26@13-04-26    ;    57.46835443037974    ;    25.0
