#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-21    ;    54.57317073170732    ;    0.0
2022-01-25@22-31-27    ;    54.268292682926834    ;    0.0
2022-01-25@22-36-33    ;    54.57317073170732    ;    0.0
2022-01-25@22-41-42    ;    54.11585365853659    ;    0.0
2022-01-25@22-46-47    ;    55.640243902439025    ;    0.0
2022-01-25@22-51-54    ;    57.012195121951216    ;    0.0
2022-01-25@22-57-01    ;    57.16463414634146    ;    0.0
2022-01-25@23-02-08    ;    57.46951219512195    ;    0.0
2022-01-25@23-07-14    ;    57.012195121951216    ;    0.0
2022-01-25@23-12-20    ;    57.46951219512195    ;    0.0
2022-01-25@23-17-25    ;    57.92682926829268    ;    0.0
2022-01-25@23-22-31    ;    58.231707317073166    ;    0.0
2022-01-25@23-27-37    ;    58.38414634146341    ;    0.0
2022-01-25@23-32-47    ;    58.536585365853654    ;    0.0
2022-01-25@23-37-52    ;    58.536585365853654    ;    0.0
2022-01-25@23-42-59    ;    58.6890243902439    ;    0.0
2022-01-25@23-48-05    ;    58.84146341463414    ;    0.0
2022-01-25@23-53-11    ;    58.993902439024396    ;    0.0
2022-01-25@23-58-16    ;    58.6890243902439    ;    0.0
2022-01-26@00-03-22    ;    58.84146341463414    ;    0.0
2022-01-26@00-08-27    ;    58.993902439024396    ;    0.0
2022-01-26@00-13-35    ;    58.6890243902439    ;    0.0
2022-01-26@00-18-44    ;    58.993902439024396    ;    0.0
2022-01-26@00-23-49    ;    59.14634146341463    ;    0.0
2022-01-26@00-28-57    ;    59.29878048780488    ;    0.0
2022-01-26@00-34-03    ;    59.14634146341463    ;    0.0
2022-01-26@00-39-08    ;    58.84146341463414    ;    0.0
2022-01-26@00-44-13    ;    58.84146341463414    ;    0.0
2022-01-26@00-49-20    ;    59.60365853658537    ;    0.0
2022-01-26@08-10-50    ;    59.45121951219512    ;    16.666666666666664
2022-01-26@08-16-18    ;    53.65853658536586    ;    8.333333333333332
2022-01-26@08-21-39    ;    53.963414634146346    ;    8.333333333333332
2022-01-26@08-27-06    ;    54.420731707317074    ;    8.333333333333332
2022-01-26@08-28-29    ;    52.89634146341463    ;    8.333333333333332
2022-01-26@08-28-56    ;    52.89634146341463    ;    8.333333333333332
2022-01-26@08-32-23    ;    53.04878048780488    ;    8.333333333333332
2022-01-26@08-37-33    ;    52.4390243902439    ;    16.666666666666664
2022-01-26@08-42-45    ;    55.94512195121951    ;    33.33333333333333
2022-01-26@08-47-56    ;    57.012195121951216    ;    33.33333333333333
2022-01-26@08-53-11    ;    51.0670731707317    ;    33.33333333333333
2022-01-26@09-00-04    ;    50.91463414634146    ;    33.33333333333333
2022-01-26@09-05-21    ;    50.762195121951216    ;    33.33333333333333
2022-01-26@09-10-34    ;    52.286585365853654    ;    33.33333333333333
2022-01-26@09-15-47    ;    58.079268292682926    ;    33.33333333333333
2022-01-26@09-19-38    ;    57.46951219512195    ;    33.33333333333333
2022-01-26@09-24-49    ;    51.37195121951219    ;    33.33333333333333
2022-01-26@09-29-59    ;    51.67682926829268    ;    33.33333333333333
2022-01-26@09-35-14    ;    58.38414634146341    ;    33.33333333333333
2022-01-26@09-40-47    ;    51.52439024390244    ;    33.33333333333333
2022-01-26@09-45-58    ;    50.762195121951216    ;    33.33333333333333
2022-01-26@09-51-15    ;    50.45731707317073    ;    33.33333333333333
2022-01-26@09-56-28    ;    49.08536585365854    ;    33.33333333333333
2022-01-26@10-01-59    ;    49.542682926829265    ;    33.33333333333333
2022-01-26@10-07-17    ;    49.69512195121951    ;    33.33333333333333
2022-01-26@10-12-37    ;    50.45731707317073    ;    33.33333333333333
2022-01-26@10-17-48    ;    50.609756097560975    ;    33.33333333333333
2022-01-26@10-23-10    ;    51.37195121951219    ;    33.33333333333333
2022-01-26@10-28-32    ;    51.21951219512195    ;    33.33333333333333
2022-01-26@10-34-07    ;    50.762195121951216    ;    33.33333333333333
2022-01-26@10-39-40    ;    50.609756097560975    ;    33.33333333333333
2022-01-26@10-45-21    ;    50.609756097560975    ;    33.33333333333333
2022-01-26@10-50-57    ;    50.15243902439024    ;    33.33333333333333
2022-01-26@10-56-10    ;    50.45731707317073    ;    33.33333333333333
2022-01-26@11-01-30    ;    50.762195121951216    ;    33.33333333333333
2022-01-26@11-07-00    ;    50.609756097560975    ;    33.33333333333333
2022-01-26@11-12-25    ;    50.15243902439024    ;    33.33333333333333
2022-01-26@11-17-46    ;    50.30487804878049    ;    33.33333333333333
2022-01-26@11-23-28    ;    50.0    ;    33.33333333333333
2022-01-26@11-28-58    ;    30.03048780487805    ;    33.33333333333333
2022-01-26@11-34-29    ;    30.640243902439025    ;    33.33333333333333
2022-01-26@11-39-54    ;    29.573170731707314    ;    33.33333333333333
2022-01-26@11-45-23    ;    28.506097560975608    ;    33.33333333333333
2022-01-26@11-50-44    ;    29.878048780487802    ;    33.33333333333333
2022-01-26@11-56-06    ;    29.268292682926827    ;    33.33333333333333
2022-01-26@12-01-29    ;    28.96341463414634    ;    33.33333333333333
2022-01-26@12-06-52    ;    29.878048780487802    ;    41.66666666666667
2022-01-26@12-43-26    ;    44.66463414634146    ;    33.33333333333333
2022-01-26@12-48-38    ;    43.292682926829265    ;    33.33333333333333
2022-01-26@12-53-55    ;    43.140243902439025    ;    33.33333333333333
2022-01-26@12-59-09    ;    43.44512195121951    ;    33.33333333333333
2022-01-26@13-04-24    ;    42.68292682926829    ;    33.33333333333333
2022-01-26@13-09-35    ;    42.98780487804878    ;    41.66666666666667
2022-01-26@13-14-49    ;    43.75    ;    41.66666666666667
2022-01-26@13-20-06    ;    42.22560975609756    ;    50.0
2022-01-26@13-25-16    ;    42.68292682926829    ;    50.0
2022-01-26@13-30-36    ;    44.81707317073171    ;    58.333333333333336
2022-01-26@13-36-01    ;    42.3780487804878    ;    58.333333333333336
2022-01-26@13-41-43    ;    42.68292682926829    ;    58.333333333333336
2022-01-26@13-47-23    ;    43.44512195121951    ;    66.66666666666666
2022-01-26@13-52-45    ;    42.98780487804878    ;    66.66666666666666
2022-01-26@15-28-16    ;    43.75    ;    66.66666666666666
2022-01-26@15-35-18    ;    44.51219512195122    ;    66.66666666666666
2022-01-26@15-40-28    ;    46.79878048780488    ;    66.66666666666666
2022-01-26@15-45-35    ;    48.47560975609756    ;    66.66666666666666
2022-01-26@15-50-43    ;    44.05487804878049    ;    66.66666666666666
2022-01-26@15-55-51    ;    44.207317073170735    ;    66.66666666666666
2022-01-26@16-00-57    ;    47.86585365853659    ;    66.66666666666666
2022-01-26@16-06-03    ;    45.1219512195122    ;    66.66666666666666
