#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-24    ;    90.82568807339449    ;    0
2022-01-25@22-31-30    ;    90.82568807339449    ;    0
2022-01-25@22-36-36    ;    91.74311926605505    ;    0
2022-01-25@22-41-45    ;    92.66055045871559    ;    0
2022-01-25@22-46-51    ;    94.4954128440367    ;    0
2022-01-25@22-51-56    ;    94.4954128440367    ;    0
2022-01-25@22-57-05    ;    94.4954128440367    ;    0
2022-01-25@23-02-11    ;    95.41284403669725    ;    0
2022-01-25@23-07-17    ;    96.3302752293578    ;    0
2022-01-25@23-12-23    ;    96.3302752293578    ;    0
2022-01-25@23-17-28    ;    96.3302752293578    ;    0
2022-01-25@23-22-34    ;    96.3302752293578    ;    0
2022-01-25@23-27-43    ;    96.3302752293578    ;    0
2022-01-25@23-32-49    ;    96.3302752293578    ;    0
2022-01-25@23-37-56    ;    97.24770642201835    ;    0
2022-01-25@23-43-02    ;    98.1651376146789    ;    0
2022-01-25@23-48-08    ;    98.1651376146789    ;    0
2022-01-25@23-53-14    ;    98.1651376146789    ;    0
2022-01-25@23-58-19    ;    98.1651376146789    ;    0
2022-01-26@00-03-25    ;    98.1651376146789    ;    0
2022-01-26@00-08-32    ;    98.1651376146789    ;    0
2022-01-26@00-13-38    ;    98.1651376146789    ;    0
2022-01-26@00-18-47    ;    98.1651376146789    ;    0
2022-01-26@00-23-52    ;    98.1651376146789    ;    0
2022-01-26@00-29-00    ;    98.1651376146789    ;    0
2022-01-26@00-34-05    ;    98.1651376146789    ;    0
2022-01-26@00-39-11    ;    98.1651376146789    ;    0
2022-01-26@00-44-16    ;    98.1651376146789    ;    0
2022-01-26@08-11-09    ;    94.4954128440367    ;    0
2022-01-26@08-16-22    ;    94.4954128440367    ;    0
2022-01-26@08-22-00    ;    94.4954128440367    ;    0
2022-01-26@08-27-11    ;    94.4954128440367    ;    0
2022-01-26@08-32-28    ;    94.4954128440367    ;    0
2022-01-26@08-37-38    ;    94.4954128440367    ;    0
2022-01-26@08-42-50    ;    93.57798165137615    ;    0
2022-01-26@08-48-05    ;    93.57798165137615    ;    0
2022-01-26@08-53-17    ;    93.57798165137615    ;    0
2022-01-26@09-00-15    ;    93.57798165137615    ;    0
2022-01-26@09-05-26    ;    93.57798165137615    ;    0
2022-01-26@09-10-39    ;    93.57798165137615    ;    0
2022-01-26@09-15-52    ;    93.57798165137615    ;    0
2022-01-26@09-19-44    ;    93.57798165137615    ;    0
2022-01-26@09-24-54    ;    93.57798165137615    ;    0
2022-01-26@09-30-05    ;    93.57798165137615    ;    0
2022-01-26@09-35-30    ;    93.57798165137615    ;    0
2022-01-26@09-40-52    ;    93.57798165137615    ;    0
2022-01-26@09-46-07    ;    93.57798165137615    ;    0
2022-01-26@09-51-23    ;    93.57798165137615    ;    0
2022-01-26@09-56-52    ;    93.57798165137615    ;    0
2022-01-26@10-02-04    ;    93.57798165137615    ;    0
2022-01-26@10-07-31    ;    93.57798165137615    ;    0
2022-01-26@10-12-43    ;    93.57798165137615    ;    0
2022-01-26@10-18-03    ;    93.57798165137615    ;    0
2022-01-26@10-23-24    ;    93.57798165137615    ;    0
2022-01-26@10-28-41    ;    93.57798165137615    ;    0
2022-01-26@10-34-23    ;    93.57798165137615    ;    0
2022-01-26@10-40-00    ;    93.57798165137615    ;    0
2022-01-26@10-45-39    ;    93.57798165137615    ;    0
2022-01-26@10-51-02    ;    93.57798165137615    ;    0
2022-01-26@10-56-21    ;    93.57798165137615    ;    0
2022-01-26@11-01-48    ;    93.57798165137615    ;    0
2022-01-26@11-07-17    ;    93.57798165137615    ;    0
2022-01-26@11-12-30    ;    93.57798165137615    ;    0
2022-01-26@11-17-51    ;    93.57798165137615    ;    0
2022-01-26@11-23-49    ;    92.66055045871559    ;    0
2022-01-26@11-29-14    ;    91.74311926605505    ;    0
2022-01-26@11-34-44    ;    91.74311926605505    ;    0
2022-01-26@11-39-59    ;    91.74311926605505    ;    0
2022-01-26@11-45-33    ;    91.74311926605505    ;    0
2022-01-26@11-50-58    ;    91.74311926605505    ;    0
2022-01-26@11-56-11    ;    91.74311926605505    ;    0
2022-01-26@12-01-41    ;    92.66055045871559    ;    0
2022-01-26@12-07-35    ;    92.66055045871559    ;    0
2022-01-26@12-43-32    ;    95.41284403669725    ;    0
2022-01-26@12-48-45    ;    95.41284403669725    ;    0
2022-01-26@12-54-04    ;    95.41284403669725    ;    0
2022-01-26@12-59-14    ;    94.4954128440367    ;    0
2022-01-26@13-04-29    ;    94.4954128440367    ;    0
2022-01-26@13-09-39    ;    94.4954128440367    ;    0
2022-01-26@13-14-59    ;    93.57798165137615    ;    0
2022-01-26@13-20-11    ;    93.57798165137615    ;    0
2022-01-26@13-25-22    ;    92.66055045871559    ;    0
2022-01-26@13-30-41    ;    92.66055045871559    ;    0
2022-01-26@13-36-26    ;    91.74311926605505    ;    0
2022-01-26@13-42-06    ;    91.74311926605505    ;    0
2022-01-26@13-47-37    ;    91.74311926605505    ;    0
2022-01-26@13-52-54    ;    90.82568807339449    ;    0
2022-01-26@15-29-53    ;    89.90825688073394    ;    0
2022-01-26@15-35-24    ;    89.90825688073394    ;    0
2022-01-26@15-40-32    ;    89.90825688073394    ;    0
2022-01-26@15-45-39    ;    89.90825688073394    ;    0
2022-01-26@15-50-48    ;    88.9908256880734    ;    0
2022-01-26@15-55-54    ;    88.9908256880734    ;    0
2022-01-26@16-01-00    ;    88.9908256880734    ;    0
2022-01-26@16-06-07    ;    88.9908256880734    ;    0
