#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-24    ;    60.4    ;    0
2022-01-25@22-31-30    ;    64.0    ;    0
2022-01-25@22-36-36    ;    66.4    ;    0
2022-01-25@22-41-45    ;    67.60000000000001    ;    0
2022-01-25@22-46-51    ;    68.8    ;    0
2022-01-25@22-51-57    ;    70.8    ;    0
2022-01-25@22-57-05    ;    72.39999999999999    ;    0
2022-01-25@23-02-11    ;    76.4    ;    0
2022-01-25@23-07-17    ;    77.60000000000001    ;    0
2022-01-25@23-12-23    ;    78.8    ;    0
2022-01-25@23-17-28    ;    79.2    ;    0
2022-01-25@23-22-34    ;    79.2    ;    0
2022-01-25@23-27-43    ;    80.4    ;    0
2022-01-25@23-32-50    ;    84.0    ;    0
2022-01-25@23-37-56    ;    87.6    ;    0
2022-01-25@23-43-02    ;    88.0    ;    0
2022-01-25@23-48-08    ;    89.2    ;    0
2022-01-25@23-53-14    ;    89.60000000000001    ;    0
2022-01-25@23-58-19    ;    90.0    ;    0
2022-01-26@00-03-25    ;    90.4    ;    0
2022-01-26@00-08-33    ;    90.4    ;    0
2022-01-26@00-13-38    ;    91.60000000000001    ;    0
2022-01-26@00-18-47    ;    92.80000000000001    ;    0
2022-01-26@00-23-52    ;    92.80000000000001    ;    0
2022-01-26@00-29-00    ;    92.80000000000001    ;    0
2022-01-26@00-34-05    ;    93.2    ;    0
2022-01-26@00-39-11    ;    93.2    ;    0
2022-01-26@00-44-17    ;    94.39999999999999    ;    0
2022-01-26@08-11-10    ;    92.0    ;    0
2022-01-26@08-16-23    ;    92.4    ;    0
2022-01-26@08-22-01    ;    92.0    ;    0
2022-01-26@08-27-12    ;    92.0    ;    0
2022-01-26@08-32-28    ;    92.0    ;    0
2022-01-26@08-37-38    ;    92.0    ;    0
2022-01-26@08-42-51    ;    91.60000000000001    ;    0
2022-01-26@08-48-05    ;    91.2    ;    0
2022-01-26@08-53-17    ;    91.2    ;    0
2022-01-26@09-00-15    ;    90.8    ;    0
2022-01-26@09-05-26    ;    90.8    ;    0
2022-01-26@09-10-40    ;    90.8    ;    0
2022-01-26@09-15-53    ;    90.8    ;    0
2022-01-26@09-19-44    ;    91.2    ;    0
2022-01-26@09-24-55    ;    90.8    ;    0
2022-01-26@09-30-05    ;    90.8    ;    0
2022-01-26@09-35-31    ;    90.8    ;    0
2022-01-26@09-40-53    ;    90.8    ;    0
2022-01-26@09-46-07    ;    90.8    ;    0
2022-01-26@09-51-24    ;    90.8    ;    0
2022-01-26@09-56-53    ;    91.2    ;    0
2022-01-26@10-02-05    ;    90.8    ;    0
2022-01-26@10-07-32    ;    90.8    ;    0
2022-01-26@10-12-43    ;    90.8    ;    0
2022-01-26@10-18-04    ;    90.8    ;    0
2022-01-26@10-23-25    ;    90.8    ;    0
2022-01-26@10-28-41    ;    90.4    ;    0
2022-01-26@10-34-24    ;    88.8    ;    0
2022-01-26@10-40-02    ;    88.8    ;    0
2022-01-26@10-45-41    ;    88.4    ;    0
2022-01-26@10-51-03    ;    88.4    ;    0
2022-01-26@10-56-23    ;    88.0    ;    0
2022-01-26@11-01-49    ;    86.0    ;    0
2022-01-26@11-07-18    ;    84.8    ;    0
2022-01-26@11-12-30    ;    84.0    ;    0
2022-01-26@11-17-52    ;    83.6    ;    0
2022-01-26@11-23-49    ;    83.6    ;    0
2022-01-26@11-29-14    ;    83.6    ;    0
2022-01-26@11-34-49    ;    84.39999999999999    ;    0
2022-01-26@11-39-59    ;    84.39999999999999    ;    0
2022-01-26@11-45-33    ;    84.39999999999999    ;    0
2022-01-26@11-50-59    ;    84.39999999999999    ;    0
2022-01-26@11-56-11    ;    83.2    ;    0
2022-01-26@12-01-41    ;    83.2    ;    0
2022-01-26@12-07-35    ;    82.39999999999999    ;    0
2022-01-26@12-43-33    ;    77.2    ;    0
2022-01-26@12-48-46    ;    76.8    ;    0
2022-01-26@12-54-04    ;    76.4    ;    0
2022-01-26@12-59-19    ;    76.4    ;    0
2022-01-26@13-04-29    ;    76.4    ;    0
2022-01-26@13-09-40    ;    76.8    ;    0
2022-01-26@13-15-00    ;    77.60000000000001    ;    0
2022-01-26@13-20-11    ;    77.60000000000001    ;    0
2022-01-26@13-25-22    ;    77.60000000000001    ;    0
2022-01-26@13-30-41    ;    78.0    ;    0
2022-01-26@13-36-27    ;    77.60000000000001    ;    0
2022-01-26@13-42-08    ;    76.8    ;    0
2022-01-26@13-47-37    ;    76.0    ;    0
2022-01-26@13-52-54    ;    75.2    ;    0
2022-01-26@15-30-01    ;    71.2    ;    0
2022-01-26@15-35-25    ;    70.0    ;    0
2022-01-26@15-40-33    ;    69.19999999999999    ;    0
2022-01-26@15-45-39    ;    66.8    ;    0
2022-01-26@15-50-48    ;    66.0    ;    0
2022-01-26@15-55-54    ;    66.4    ;    0
2022-01-26@16-01-00    ;    66.4    ;    0
2022-01-26@16-06-07    ;    66.0    ;    0
