#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-25    ;    100.0    ;    81.25
2022-01-25@22-31-30    ;    100.0    ;    81.25
2022-01-25@22-36-36    ;    100.0    ;    81.25
2022-01-25@22-41-45    ;    100.0    ;    81.25
2022-01-25@22-46-51    ;    100.0    ;    81.25
2022-01-25@22-51-57    ;    100.0    ;    81.25
2022-01-25@22-57-06    ;    100.0    ;    81.25
2022-01-25@23-02-11    ;    100.0    ;    81.25
2022-01-25@23-07-18    ;    100.0    ;    81.25
2022-01-25@23-12-23    ;    100.0    ;    93.75
2022-01-25@23-17-29    ;    100.0    ;    93.75
2022-01-25@23-22-34    ;    100.0    ;    93.75
2022-01-25@23-27-45    ;    100.0    ;    93.75
2022-01-25@23-32-50    ;    100.0    ;    93.75
2022-01-25@23-37-57    ;    100.0    ;    93.75
2022-01-25@23-43-03    ;    100.0    ;    93.75
2022-01-25@23-48-09    ;    100.0    ;    93.75
2022-01-25@23-53-14    ;    100.0    ;    93.75
2022-01-25@23-58-20    ;    100.0    ;    93.75
2022-01-26@00-03-25    ;    100.0    ;    93.75
2022-01-26@00-08-33    ;    100.0    ;    93.75
2022-01-26@00-13-39    ;    100.0    ;    93.75
2022-01-26@00-18-47    ;    100.0    ;    93.75
2022-01-26@00-23-53    ;    100.0    ;    93.75
2022-01-26@00-29-00    ;    100.0    ;    93.75
2022-01-26@00-34-06    ;    100.0    ;    93.75
2022-01-26@00-39-11    ;    100.0    ;    93.75
2022-01-26@00-44-17    ;    100.0    ;    93.75
2022-01-26@08-11-13    ;    100.0    ;    87.5
2022-01-26@08-16-24    ;    100.0    ;    87.5
2022-01-26@08-22-02    ;    100.0    ;    87.5
2022-01-26@08-27-13    ;    100.0    ;    87.5
2022-01-26@08-32-29    ;    100.0    ;    87.5
2022-01-26@08-37-39    ;    100.0    ;    87.5
2022-01-26@08-42-52    ;    100.0    ;    87.5
2022-01-26@08-48-06    ;    100.0    ;    87.5
2022-01-26@08-53-18    ;    100.0    ;    87.5
2022-01-26@09-00-17    ;    100.0    ;    87.5
2022-01-26@09-05-27    ;    100.0    ;    87.5
2022-01-26@09-10-43    ;    100.0    ;    87.5
2022-01-26@09-15-53    ;    100.0    ;    93.75
2022-01-26@09-19-45    ;    100.0    ;    93.75
2022-01-26@09-24-56    ;    100.0    ;    93.75
2022-01-26@09-30-06    ;    100.0    ;    93.75
2022-01-26@09-35-33    ;    100.0    ;    93.75
2022-01-26@09-40-53    ;    100.0    ;    93.75
2022-01-26@09-46-08    ;    100.0    ;    93.75
2022-01-26@09-51-24    ;    100.0    ;    93.75
2022-01-26@09-56-54    ;    100.0    ;    93.75
2022-01-26@10-02-06    ;    100.0    ;    93.75
2022-01-26@10-07-33    ;    100.0    ;    93.75
2022-01-26@10-12-44    ;    100.0    ;    93.75
2022-01-26@10-18-05    ;    100.0    ;    93.75
2022-01-26@10-23-25    ;    100.0    ;    93.75
2022-01-26@10-28-47    ;    100.0    ;    93.75
2022-01-26@10-34-26    ;    100.0    ;    93.75
2022-01-26@10-40-07    ;    100.0    ;    93.75
2022-01-26@10-45-53    ;    100.0    ;    100.0
2022-01-26@10-51-03    ;    100.0    ;    100.0
2022-01-26@10-56-24    ;    100.0    ;    100.0
2022-01-26@11-01-52    ;    100.0    ;    100.0
2022-01-26@11-07-21    ;    100.0    ;    100.0
2022-01-26@11-12-31    ;    100.0    ;    100.0
2022-01-26@11-17-52    ;    100.0    ;    100.0
2022-01-26@11-23-51    ;    100.0    ;    100.0
2022-01-26@11-29-20    ;    100.0    ;    100.0
2022-01-26@11-34-50    ;    100.0    ;    100.0
2022-01-26@11-40-09    ;    100.0    ;    100.0
2022-01-26@11-45-36    ;    100.0    ;    100.0
2022-01-26@11-51-01    ;    100.0    ;    100.0
2022-01-26@11-56-12    ;    100.0    ;    100.0
2022-01-26@12-01-42    ;    100.0    ;    100.0
2022-01-26@12-07-37    ;    100.0    ;    100.0
2022-01-26@12-43-33    ;    100.0    ;    100.0
2022-01-26@12-48-47    ;    100.0    ;    100.0
2022-01-26@12-54-05    ;    100.0    ;    100.0
2022-01-26@12-59-20    ;    100.0    ;    100.0
2022-01-26@13-04-30    ;    100.0    ;    100.0
2022-01-26@13-09-41    ;    100.0    ;    100.0
2022-01-26@13-15-01    ;    100.0    ;    100.0
2022-01-26@13-20-12    ;    100.0    ;    100.0
2022-01-26@13-25-23    ;    100.0    ;    93.75
2022-01-26@13-30-42    ;    100.0    ;    93.75
2022-01-26@13-36-30    ;    100.0    ;    93.75
2022-01-26@13-42-11    ;    100.0    ;    93.75
2022-01-26@13-47-39    ;    100.0    ;    93.75
2022-01-26@13-52-55    ;    100.0    ;    93.75
2022-01-26@15-30-11    ;    100.0    ;    93.75
2022-01-26@15-35-25    ;    100.0    ;    87.5
2022-01-26@15-40-33    ;    100.0    ;    87.5
2022-01-26@15-45-39    ;    100.0    ;    87.5
2022-01-26@15-50-49    ;    100.0    ;    87.5
2022-01-26@15-55-55    ;    100.0    ;    87.5
2022-01-26@16-01-00    ;    100.0    ;    87.5
2022-01-26@16-06-08    ;    100.0    ;    87.5
