#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-23    ;    41.843971631205676    ;    0
2022-01-25@22-31-28    ;    41.843971631205676    ;    0
2022-01-25@22-36-35    ;    41.843971631205676    ;    0
2022-01-25@22-41-43    ;    41.843971631205676    ;    0
2022-01-25@22-46-50    ;    41.843971631205676    ;    0
2022-01-25@22-51-55    ;    41.843971631205676    ;    0
2022-01-25@22-57-04    ;    41.843971631205676    ;    0
2022-01-25@23-02-10    ;    41.843971631205676    ;    0
2022-01-25@23-07-16    ;    41.843971631205676    ;    0
2022-01-25@23-12-22    ;    42.08037825059102    ;    0
2022-01-25@23-17-27    ;    42.08037825059102    ;    0
2022-01-25@23-22-33    ;    42.08037825059102    ;    0
2022-01-25@23-27-42    ;    42.08037825059102    ;    0
2022-01-25@23-32-48    ;    42.08037825059102    ;    0
2022-01-25@23-37-54    ;    42.08037825059102    ;    0
2022-01-25@23-43-01    ;    42.08037825059102    ;    0
2022-01-25@23-48-07    ;    42.08037825059102    ;    0
2022-01-25@23-53-13    ;    42.08037825059102    ;    0
2022-01-25@23-58-18    ;    42.08037825059102    ;    0
2022-01-26@00-03-24    ;    42.08037825059102    ;    0
2022-01-26@00-08-31    ;    42.08037825059102    ;    0
2022-01-26@00-13-37    ;    42.08037825059102    ;    0
2022-01-26@00-18-46    ;    42.08037825059102    ;    0
2022-01-26@00-23-51    ;    42.08037825059102    ;    0
2022-01-26@00-28-59    ;    42.08037825059102    ;    0
2022-01-26@00-34-04    ;    42.31678486997636    ;    0
2022-01-26@00-39-10    ;    42.31678486997636    ;    0
2022-01-26@00-44-15    ;    42.31678486997636    ;    0
2022-01-26@00-49-21    ;    42.31678486997636    ;    0
2022-01-26@08-11-01    ;    25.768321513002363    ;    0
2022-01-26@08-16-21    ;    25.059101654846334    ;    0
2022-01-26@08-21-54    ;    24.58628841607565    ;    0
2022-01-26@08-27-09    ;    23.64066193853428    ;    0
2022-01-26@08-29-00    ;    23.64066193853428    ;    0
2022-01-26@08-32-26    ;    23.404255319148938    ;    0
2022-01-26@08-37-36    ;    21.513002364066196    ;    0
2022-01-26@08-42-48    ;    20.803782505910164    ;    0
2022-01-26@08-48-02    ;    19.858156028368796    ;    0
2022-01-26@08-53-14    ;    18.912529550827422    ;    0
2022-01-26@09-00-09    ;    18.203309692671397    ;    0
2022-01-26@09-05-24    ;    17.73049645390071    ;    0
2022-01-26@09-10-37    ;    16.548463356973993    ;    0
2022-01-26@09-15-50    ;    15.839243498817968    ;    0
2022-01-26@09-19-42    ;    14.657210401891252    ;    0
2022-01-26@09-24-52    ;    13.947990543735225    ;    0
2022-01-26@09-30-03    ;    13.238770685579196    ;    0
2022-01-26@09-35-19    ;    13.002364066193852    ;    0
2022-01-26@09-40-50    ;    12.056737588652481    ;    0
2022-01-26@09-46-05    ;    12.293144208037825    ;    0
2022-01-26@09-51-20    ;    12.056737588652481    ;    0
2022-01-26@09-56-32    ;    12.056737588652481    ;    0
2022-01-26@10-02-02    ;    11.583924349881796    ;    0
2022-01-26@10-07-27    ;    11.583924349881796    ;    0
2022-01-26@10-12-40    ;    10.874704491725769    ;    0
2022-01-26@10-17-56    ;    10.874704491725769    ;    0
2022-01-26@10-23-22    ;    9.929078014184398    ;    0
2022-01-26@10-28-37    ;    9.692671394799055    ;    0
2022-01-26@10-34-19    ;    8.274231678486997    ;    0
2022-01-26@10-39-53    ;    8.274231678486997    ;    0
2022-01-26@10-45-30    ;    8.037825059101655    ;    0
2022-01-26@10-51-00    ;    7.5650118203309695    ;    0
2022-01-26@10-56-17    ;    7.092198581560284    ;    0
2022-01-26@11-01-38    ;    7.092198581560284    ;    0
2022-01-26@11-07-12    ;    7.5650118203309695    ;    0
2022-01-26@11-12-28    ;    7.328605200945626    ;    0
2022-01-26@11-17-49    ;    7.328605200945626    ;    0
2022-01-26@11-23-44    ;    6.8557919621749415    ;    0
2022-01-26@11-29-05    ;    6.8557919621749415    ;    0
2022-01-26@11-34-34    ;    6.619385342789598    ;    0
2022-01-26@11-39-57    ;    5.91016548463357    ;    0
2022-01-26@11-45-29    ;    6.382978723404255    ;    0
2022-01-26@11-50-54    ;    6.1465721040189125    ;    0
2022-01-26@11-56-09    ;    6.382978723404255    ;    0
2022-01-26@12-01-36    ;    6.619385342789598    ;    0
2022-01-26@12-07-25    ;    6.8557919621749415    ;    0
2022-01-26@12-43-30    ;    7.801418439716312    ;    0
2022-01-26@12-48-43    ;    7.5650118203309695    ;    0
2022-01-26@12-54-01    ;    8.274231678486997    ;    0
2022-01-26@12-59-12    ;    8.51063829787234    ;    0
2022-01-26@13-04-27    ;    8.747044917257684    ;    0
2022-01-26@13-09-37    ;    8.747044917257684    ;    0
2022-01-26@13-14-55    ;    8.983451536643026    ;    0
2022-01-26@13-20-09    ;    9.219858156028367    ;    0
2022-01-26@13-25-20    ;    8.274231678486997    ;    0
2022-01-26@13-30-39    ;    7.801418439716312    ;    0
2022-01-26@13-36-21    ;    8.51063829787234    ;    0
2022-01-26@13-41-58    ;    8.037825059101655    ;    0
2022-01-26@13-47-30    ;    7.328605200945626    ;    0
2022-01-26@13-52-50    ;    8.037825059101655    ;    0
2022-01-26@15-29-30    ;    6.382978723404255    ;    0
2022-01-26@15-35-23    ;    6.382978723404255    ;    0
2022-01-26@15-40-31    ;    6.1465721040189125    ;    0
2022-01-26@15-45-37    ;    5.673758865248227    ;    0
2022-01-26@15-50-45    ;    6.1465721040189125    ;    0
2022-01-26@15-55-53    ;    7.328605200945626    ;    0
2022-01-26@16-00-59    ;    6.8557919621749415    ;    0
2022-01-26@16-06-06    ;    7.092198581560284    ;    0
