#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-23    ;    98.72408293460924    ;    84.375
2022-01-25@22-31-29    ;    98.88357256778309    ;    84.375
2022-01-25@22-36-35    ;    99.04306220095694    ;    84.375
2022-01-25@22-41-44    ;    99.04306220095694    ;    84.375
2022-01-25@22-46-50    ;    99.04306220095694    ;    84.375
2022-01-25@22-51-56    ;    99.04306220095694    ;    84.375
2022-01-25@22-57-05    ;    99.20255183413079    ;    84.375
2022-01-25@23-02-10    ;    99.20255183413079    ;    84.375
2022-01-25@23-07-17    ;    99.20255183413079    ;    84.375
2022-01-25@23-12-22    ;    99.20255183413079    ;    84.375
2022-01-25@23-17-28    ;    99.20255183413079    ;    84.375
2022-01-25@23-22-33    ;    99.20255183413079    ;    84.375
2022-01-25@23-27-42    ;    99.20255183413079    ;    84.375
2022-01-25@23-32-49    ;    99.20255183413079    ;    84.375
2022-01-25@23-37-56    ;    99.20255183413079    ;    84.375
2022-01-25@23-43-01    ;    99.20255183413079    ;    84.375
2022-01-25@23-48-08    ;    99.20255183413079    ;    84.375
2022-01-25@23-53-13    ;    99.20255183413079    ;    84.375
2022-01-25@23-58-19    ;    99.20255183413079    ;    84.375
2022-01-26@00-03-24    ;    99.20255183413079    ;    81.25
2022-01-26@00-08-32    ;    99.52153110047847    ;    81.25
2022-01-26@00-13-38    ;    99.68102073365232    ;    81.25
2022-01-26@00-18-46    ;    99.68102073365232    ;    81.25
2022-01-26@00-23-52    ;    99.68102073365232    ;    81.25
2022-01-26@00-28-59    ;    99.84051036682615    ;    90.625
2022-01-26@00-34-05    ;    99.84051036682615    ;    90.625
2022-01-26@00-39-10    ;    99.84051036682615    ;    90.625
2022-01-26@00-44-16    ;    100.0    ;    93.75
2022-01-26@00-49-22    ;    100.0    ;    93.75
2022-01-26@08-11-06    ;    78.30940988835727    ;    84.375
2022-01-26@08-16-22    ;    76.71451355661883    ;    84.375
2022-01-26@08-21-59    ;    75.43859649122807    ;    84.375
2022-01-26@08-27-11    ;    73.68421052631578    ;    87.5
2022-01-26@08-29-01    ;    73.68421052631578    ;    87.5
2022-01-26@08-32-27    ;    71.61084529505582    ;    87.5
2022-01-26@08-37-37    ;    70.65390749601276    ;    87.5
2022-01-26@08-42-49    ;    69.377990430622    ;    87.5
2022-01-26@08-48-04    ;    68.10207336523126    ;    90.625
2022-01-26@08-53-16    ;    66.66666666666666    ;    90.625
2022-01-26@09-00-10    ;    65.07177033492823    ;    90.625
2022-01-26@09-05-25    ;    64.43381180223285    ;    90.625
2022-01-26@09-10-38    ;    63.63636363636363    ;    90.625
2022-01-26@09-15-51    ;    62.67942583732058    ;    90.625
2022-01-26@09-19-43    ;    61.88197767145136    ;    90.625
2022-01-26@09-24-54    ;    59.80861244019139    ;    90.625
2022-01-26@09-30-04    ;    57.89473684210527    ;    90.625
2022-01-26@09-35-27    ;    56.77830940988836    ;    90.625
2022-01-26@09-40-51    ;    55.34290271132376    ;    90.625
2022-01-26@09-46-06    ;    54.70494417862839    ;    90.625
2022-01-26@09-51-22    ;    54.22647527910686    ;    90.625
2022-01-26@09-56-51    ;    54.066985645933016    ;    90.625
2022-01-26@10-02-03    ;    53.42902711323764    ;    90.625
2022-01-26@10-07-29    ;    52.472089314194584    ;    87.5
2022-01-26@10-12-42    ;    51.8341307814992    ;    87.5
2022-01-26@10-18-00    ;    51.674641148325364    ;    87.5
2022-01-26@10-23-23    ;    51.355661881977674    ;    87.5
2022-01-26@10-28-40    ;    51.196172248803826    ;    87.5
2022-01-26@10-34-21    ;    50.558213716108455    ;    87.5
2022-01-26@10-39-55    ;    50.23923444976076    ;    90.625
2022-01-26@10-45-37    ;    49.441786283891545    ;    90.625
2022-01-26@10-51-01    ;    48.644338118022326    ;    90.625
2022-01-26@10-56-20    ;    48.32535885167464    ;    90.625
2022-01-26@11-01-43    ;    48.165869218500795    ;    90.625
2022-01-26@11-07-14    ;    48.006379585326954    ;    90.625
2022-01-26@11-12-29    ;    48.006379585326954    ;    87.5
2022-01-26@11-17-50    ;    47.84688995215311    ;    87.5
2022-01-26@11-23-47    ;    47.52791068580542    ;    90.625
2022-01-26@11-29-11    ;    47.04944178628389    ;    90.625
2022-01-26@11-34-40    ;    47.368421052631575    ;    90.625
2022-01-26@11-39-58    ;    48.32535885167464    ;    90.625
2022-01-26@11-45-31    ;    47.687400318979265    ;    90.625
2022-01-26@11-50-57    ;    47.687400318979265    ;    90.625
2022-01-26@11-56-10    ;    48.006379585326954    ;    90.625
2022-01-26@12-01-39    ;    48.803827751196174    ;    90.625
2022-01-26@12-07-32    ;    48.963317384370015    ;    90.625
2022-01-26@12-43-31    ;    51.355661881977674    ;    87.5
2022-01-26@12-48-44    ;    51.355661881977674    ;    84.375
2022-01-26@12-54-02    ;    51.674641148325364    ;    84.375
2022-01-26@12-59-13    ;    51.8341307814992    ;    84.375
2022-01-26@13-04-28    ;    51.674641148325364    ;    90.625
2022-01-26@13-09-39    ;    51.8341307814992    ;    90.625
2022-01-26@13-14-58    ;    51.515151515151516    ;    90.625
2022-01-26@13-20-10    ;    51.196172248803826    ;    90.625
2022-01-26@13-25-21    ;    50.558213716108455    ;    90.625
2022-01-26@13-30-40    ;    50.23923444976076    ;    87.5
2022-01-26@13-36-24    ;    49.441786283891545    ;    87.5
2022-01-26@13-42-03    ;    49.601275917065394    ;    87.5
2022-01-26@13-47-33    ;    48.963317384370015    ;    87.5
2022-01-26@13-52-53    ;    49.441786283891545    ;    87.5
2022-01-26@15-29-47    ;    50.398724082934606    ;    93.75
2022-01-26@15-35-24    ;    50.877192982456144    ;    93.75
2022-01-26@15-40-32    ;    51.196172248803826    ;    93.75
2022-01-26@15-45-38    ;    50.877192982456144    ;    93.75
2022-01-26@15-50-46    ;    50.23923444976076    ;    93.75
2022-01-26@15-55-54    ;    50.558213716108455    ;    93.75
2022-01-26@16-00-59    ;    51.993620414673046    ;    100.0
2022-01-26@16-06-06    ;    53.90749601275917    ;    96.875
