#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-22    ;    63.775510204081634    ;    0
2022-01-25@22-31-27    ;    63.94557823129252    ;    0
2022-01-25@22-36-33    ;    64.45578231292517    ;    0
2022-01-25@22-41-42    ;    64.45578231292517    ;    0
2022-01-25@22-46-48    ;    64.45578231292517    ;    0
2022-01-25@22-51-54    ;    64.28571428571429    ;    0
2022-01-25@22-57-02    ;    64.62585034013605    ;    0
2022-01-25@23-02-09    ;    65.1360544217687    ;    0
2022-01-25@23-07-15    ;    65.81632653061224    ;    0
2022-01-25@23-12-20    ;    66.15646258503402    ;    0
2022-01-25@23-17-26    ;    66.15646258503402    ;    0
2022-01-25@23-22-32    ;    66.49659863945578    ;    0
2022-01-25@23-27-37    ;    66.66666666666666    ;    0
2022-01-25@23-32-47    ;    67.00680272108843    ;    0
2022-01-25@23-37-53    ;    67.00680272108843    ;    0
2022-01-25@23-43-00    ;    67.17687074829932    ;    0
2022-01-25@23-48-06    ;    67.3469387755102    ;    0
2022-01-25@23-53-12    ;    67.68707482993197    ;    0
2022-01-25@23-58-17    ;    68.19727891156462    ;    0
2022-01-26@00-03-23    ;    68.70748299319727    ;    0
2022-01-26@00-08-28    ;    68.70748299319727    ;    0
2022-01-26@00-13-36    ;    68.70748299319727    ;    0
2022-01-26@00-18-45    ;    68.70748299319727    ;    0
2022-01-26@00-23-50    ;    68.87755102040816    ;    0
2022-01-26@00-28-58    ;    68.87755102040816    ;    0
2022-01-26@00-34-03    ;    69.04761904761905    ;    0
2022-01-26@00-39-09    ;    69.38775510204081    ;    0
2022-01-26@00-44-14    ;    70.06802721088435    ;    0
2022-01-26@00-49-20    ;    70.06802721088435    ;    0
2022-01-26@08-10-54    ;    65.98639455782312    ;    0
2022-01-26@08-16-19    ;    65.3061224489796    ;    0
2022-01-26@08-21-42    ;    64.45578231292517    ;    0
2022-01-26@08-27-07    ;    62.755102040816325    ;    0
2022-01-26@08-28-30    ;    62.585034013605444    ;    0
2022-01-26@08-28-57    ;    62.585034013605444    ;    0
2022-01-26@08-32-24    ;    62.244897959183675    ;    0
2022-01-26@08-37-34    ;    61.39455782312925    ;    0
2022-01-26@08-42-46    ;    60.71428571428571    ;    0
2022-01-26@08-47-57    ;    60.204081632653065    ;    0
2022-01-26@08-53-13    ;    58.673469387755105    ;    0
2022-01-26@09-00-06    ;    57.31292517006803    ;    0
2022-01-26@09-05-22    ;    56.4625850340136    ;    0
2022-01-26@09-10-35    ;    54.421768707483    ;    0
2022-01-26@09-15-48    ;    53.74149659863946    ;    0
2022-01-26@09-19-40    ;    53.57142857142857    ;    0
2022-01-26@09-24-51    ;    52.721088435374156    ;    0
2022-01-26@09-30-01    ;    51.70068027210885    ;    0
2022-01-26@09-35-16    ;    50.51020408163265    ;    0
2022-01-26@09-40-48    ;    50.17006802721088    ;    0
2022-01-26@09-46-00    ;    49.82993197278912    ;    0
2022-01-26@09-51-18    ;    49.14965986394558    ;    0
2022-01-26@09-56-30    ;    48.80952380952381    ;    0
