#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-22    ;    83.09278350515464    ;    0.0
2022-01-25@22-31-28    ;    83.09278350515464    ;    0.0
2022-01-25@22-36-34    ;    83.09278350515464    ;    0.0
2022-01-25@22-41-43    ;    83.09278350515464    ;    0.0
2022-01-25@22-46-49    ;    83.09278350515464    ;    0.0
2022-01-25@22-51-55    ;    83.29896907216495    ;    0.0
2022-01-25@22-57-03    ;    83.29896907216495    ;    0.0
2022-01-25@23-02-09    ;    83.29896907216495    ;    0.0
2022-01-25@23-07-15    ;    83.29896907216495    ;    0.0
2022-01-25@23-12-21    ;    83.29896907216495    ;    0.0
2022-01-25@23-17-26    ;    83.29896907216495    ;    0.0
2022-01-25@23-22-32    ;    83.29896907216495    ;    0.0
2022-01-25@23-27-41    ;    83.29896907216495    ;    0.0
2022-01-25@23-32-48    ;    83.29896907216495    ;    0.0
2022-01-25@23-37-53    ;    83.29896907216495    ;    0.0
2022-01-25@23-43-00    ;    83.29896907216495    ;    0.0
2022-01-25@23-48-06    ;    83.29896907216495    ;    0.0
2022-01-25@23-53-12    ;    83.29896907216495    ;    0.0
2022-01-25@23-58-17    ;    83.29896907216495    ;    0.0
2022-01-26@00-03-23    ;    83.29896907216495    ;    0.0
2022-01-26@00-08-28    ;    83.29896907216495    ;    0.0
2022-01-26@00-13-36    ;    83.29896907216495    ;    0.0
2022-01-26@00-18-45    ;    83.29896907216495    ;    0.0
2022-01-26@00-23-50    ;    83.29896907216495    ;    0.0
2022-01-26@00-28-58    ;    83.50515463917526    ;    0.0
2022-01-26@00-34-04    ;    83.50515463917526    ;    0.0
2022-01-26@00-39-09    ;    83.50515463917526    ;    0.0
2022-01-26@00-44-15    ;    83.50515463917526    ;    0.0
2022-01-26@00-49-21    ;    83.50515463917526    ;    0.0
2022-01-26@08-10-57    ;    70.30927835051546    ;    0.0
2022-01-26@08-16-19    ;    69.27835051546391    ;    0.0
2022-01-26@08-21-48    ;    68.65979381443299    ;    0.0
2022-01-26@08-27-08    ;    67.83505154639175    ;    0.0
2022-01-26@08-28-58    ;    68.04123711340206    ;    0.0
2022-01-26@08-32-25    ;    68.04123711340206    ;    0.0
2022-01-26@08-37-35    ;    68.04123711340206    ;    0.0
2022-01-26@08-42-47    ;    60.20618556701031    ;    0.0
2022-01-26@08-47-57    ;    58.96907216494846    ;    0.0
2022-01-26@08-53-13    ;    56.08247422680412    ;    0.0
2022-01-26@09-00-07    ;    55.05154639175258    ;    0.0
2022-01-26@09-05-23    ;    54.22680412371134    ;    0.0
2022-01-26@09-10-36    ;    52.78350515463918    ;    0.0
2022-01-26@09-15-49    ;    51.958762886597945    ;    0.0
2022-01-26@09-19-40    ;    52.164948453608254    ;    0.0
2022-01-26@09-24-51    ;    50.72164948453608    ;    0.0
2022-01-26@09-30-01    ;    50.51546391752577    ;    0.0
2022-01-26@09-35-17    ;    50.103092783505154    ;    0.0
2022-01-26@09-40-49    ;    50.30927835051546    ;    0.0
2022-01-26@09-46-03    ;    49.27835051546392    ;    0.0
2022-01-26@09-51-19    ;    49.072164948453604    ;    0.0
2022-01-26@09-56-31    ;    48.45360824742268    ;    0.0
2022-01-26@10-02-01    ;    48.04123711340206    ;    0.0
2022-01-26@10-07-21    ;    47.83505154639175    ;    0.0
2022-01-26@10-12-39    ;    47.62886597938144    ;    0.0
2022-01-26@10-17-52    ;    47.62886597938144    ;    0.0
2022-01-26@10-23-21    ;    48.04123711340206    ;    0.0
2022-01-26@10-28-36    ;    48.04123711340206    ;    0.0
2022-01-26@10-34-13    ;    49.072164948453604    ;    0.0
2022-01-26@10-39-47    ;    47.42268041237113    ;    0.0
2022-01-26@10-45-25    ;    47.42268041237113    ;    0.0
2022-01-26@10-50-59    ;    47.62886597938144    ;    0.0
2022-01-26@10-56-14    ;    47.01030927835051    ;    0.0
2022-01-26@11-01-35    ;    46.597938144329895    ;    0.0
2022-01-26@11-07-09    ;    45.56701030927835    ;    0.0
2022-01-26@11-12-27    ;    45.56701030927835    ;    62.5
2022-01-26@11-17-48    ;    45.154639175257735    ;    62.5
2022-01-26@11-23-41    ;    44.53608247422681    ;    62.5
2022-01-26@11-29-03    ;    45.77319587628866    ;    62.5
2022-01-26@11-34-32    ;    44.948453608247426    ;    62.5
2022-01-26@11-39-56    ;    45.36082474226804    ;    62.5
2022-01-26@11-45-26    ;    45.36082474226804    ;    62.5
2022-01-26@11-50-48    ;    45.36082474226804    ;    62.5
2022-01-26@11-56-08    ;    45.36082474226804    ;    62.5
2022-01-26@12-01-33    ;    45.56701030927835    ;    62.5
2022-01-26@12-07-11    ;    46.597938144329895    ;    62.5
2022-01-26@12-43-29    ;    49.072164948453604    ;    62.5
2022-01-26@12-48-40    ;    49.896907216494846    ;    62.5
2022-01-26@12-53-59    ;    49.69072164948454    ;    62.5
2022-01-26@12-59-11    ;    50.30927835051546    ;    62.5
2022-01-26@13-04-26    ;    50.103092783505154    ;    62.5
2022-01-26@13-09-36    ;    50.103092783505154    ;    62.5
2022-01-26@13-14-54    ;    49.896907216494846    ;    62.5
2022-01-26@13-20-08    ;    49.69072164948454    ;    62.5
2022-01-26@13-25-19    ;    50.103092783505154    ;    62.5
2022-01-26@13-30-38    ;    48.24742268041237    ;    62.5
2022-01-26@13-36-12    ;    47.21649484536082    ;    62.5
2022-01-26@13-41-50    ;    47.21649484536082    ;    62.5
2022-01-26@13-47-28    ;    47.21649484536082    ;    62.5
2022-01-26@13-52-48    ;    47.21649484536082    ;    62.5
2022-01-26@15-28-45    ;    47.42268041237113    ;    62.5
