#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-22    ;    63.17204301075269    ;    0
2022-01-25@22-31-28    ;    63.17204301075269    ;    0
2022-01-25@22-36-34    ;    63.44086021505376    ;    0
2022-01-25@22-41-43    ;    63.44086021505376    ;    0
2022-01-25@22-46-49    ;    63.70967741935484    ;    0
2022-01-25@22-51-55    ;    63.70967741935484    ;    0
2022-01-25@22-57-04    ;    63.44086021505376    ;    0
2022-01-25@23-02-09    ;    63.44086021505376    ;    0
2022-01-25@23-07-16    ;    63.44086021505376    ;    0
2022-01-25@23-12-21    ;    63.44086021505376    ;    0
2022-01-25@23-17-27    ;    63.44086021505376    ;    0
2022-01-25@23-22-32    ;    63.44086021505376    ;    0
2022-01-25@23-27-42    ;    63.44086021505376    ;    0
2022-01-25@23-32-48    ;    63.44086021505376    ;    0
2022-01-25@23-37-54    ;    63.44086021505376    ;    0
2022-01-25@23-43-00    ;    63.44086021505376    ;    0
2022-01-25@23-48-07    ;    63.44086021505376    ;    0
2022-01-25@23-53-13    ;    63.44086021505376    ;    0
2022-01-25@23-58-18    ;    63.44086021505376    ;    0
2022-01-26@00-03-23    ;    63.44086021505376    ;    0
2022-01-26@00-08-31    ;    63.44086021505376    ;    0
2022-01-26@00-13-37    ;    63.44086021505376    ;    0
2022-01-26@00-18-45    ;    63.44086021505376    ;    0
2022-01-26@00-23-51    ;    63.44086021505376    ;    0
2022-01-26@00-28-59    ;    63.44086021505376    ;    0
2022-01-26@00-34-04    ;    63.44086021505376    ;    0
2022-01-26@00-39-09    ;    63.44086021505376    ;    0
2022-01-26@00-44-15    ;    63.44086021505376    ;    0
2022-01-26@00-49-21    ;    63.70967741935484    ;    0
2022-01-26@08-10-59    ;    44.89247311827957    ;    0
2022-01-26@08-16-20    ;    43.54838709677419    ;    0
2022-01-26@08-21-51    ;    42.473118279569896    ;    0
2022-01-26@08-27-09    ;    41.12903225806452    ;    0
2022-01-26@08-29-00    ;    41.12903225806452    ;    0
2022-01-26@08-32-25    ;    40.053763440860216    ;    0
2022-01-26@08-37-36    ;    39.247311827956985    ;    0
2022-01-26@08-42-47    ;    38.44086021505376    ;    0
2022-01-26@08-47-58    ;    37.634408602150536    ;    0
2022-01-26@08-53-14    ;    36.29032258064516    ;    0
2022-01-26@09-00-08    ;    35.215053763440864    ;    0
2022-01-26@09-05-24    ;    34.67741935483871    ;    0
2022-01-26@09-10-36    ;    33.60215053763441    ;    0
2022-01-26@09-15-50    ;    33.33333333333333    ;    0
2022-01-26@09-19-41    ;    33.064516129032256    ;    0
2022-01-26@09-24-52    ;    31.72043010752688    ;    0
2022-01-26@09-30-02    ;    30.913978494623656    ;    0
2022-01-26@09-35-18    ;    30.107526881720432    ;    0
