#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-23    ;    73.10344827586206    ;    0
2022-01-25@22-31-29    ;    73.10344827586206    ;    0
2022-01-25@22-36-35    ;    73.10344827586206    ;    0
2022-01-25@22-41-44    ;    73.10344827586206    ;    0
2022-01-25@22-46-50    ;    73.10344827586206    ;    0
2022-01-25@22-51-56    ;    73.10344827586206    ;    0
2022-01-25@22-57-04    ;    73.10344827586206    ;    0
2022-01-25@23-02-10    ;    73.10344827586206    ;    0
2022-01-25@23-07-16    ;    73.10344827586206    ;    0
2022-01-25@23-12-22    ;    73.10344827586206    ;    0
2022-01-25@23-17-27    ;    73.10344827586206    ;    0
2022-01-25@23-22-33    ;    73.10344827586206    ;    0
2022-01-25@23-27-42    ;    73.10344827586206    ;    0
2022-01-25@23-32-49    ;    73.10344827586206    ;    0
2022-01-25@23-37-54    ;    73.10344827586206    ;    0
2022-01-25@23-43-01    ;    73.10344827586206    ;    0
2022-01-25@23-48-07    ;    73.10344827586206    ;    0
2022-01-25@23-53-13    ;    73.10344827586206    ;    0
2022-01-25@23-58-18    ;    73.10344827586206    ;    0
2022-01-26@00-03-24    ;    73.10344827586206    ;    0
2022-01-26@00-08-31    ;    73.10344827586206    ;    0
2022-01-26@00-13-37    ;    73.10344827586206    ;    0
2022-01-26@00-18-46    ;    73.10344827586206    ;    0
2022-01-26@00-23-51    ;    73.10344827586206    ;    0
2022-01-26@00-28-59    ;    73.10344827586206    ;    0
2022-01-26@00-34-04    ;    73.10344827586206    ;    0
2022-01-26@00-39-10    ;    73.10344827586206    ;    0
2022-01-26@00-44-15    ;    73.10344827586206    ;    0
2022-01-26@00-49-21    ;    73.10344827586206    ;    0
2022-01-26@08-11-02    ;    66.89655172413794    ;    0
2022-01-26@08-16-21    ;    66.55172413793103    ;    0
2022-01-26@08-21-57    ;    65.86206896551724    ;    0
2022-01-26@08-27-10    ;    65.17241379310344    ;    0
2022-01-26@08-29-00    ;    65.17241379310344    ;    0
2022-01-26@08-32-26    ;    64.82758620689654    ;    0
2022-01-26@08-37-36    ;    64.48275862068965    ;    0
2022-01-26@08-42-48    ;    64.13793103448275    ;    0
2022-01-26@08-48-03    ;    63.44827586206897    ;    0
2022-01-26@08-53-15    ;    63.10344827586207    ;    0
2022-01-26@09-00-09    ;    62.41379310344828    ;    0
2022-01-26@09-05-24    ;    62.758620689655174    ;    0
