#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-21    ;    64.44954128440367    ;    0
2022-01-25@22-31-27    ;    64.44954128440367    ;    0
2022-01-25@22-36-33    ;    64.90825688073394    ;    0
2022-01-25@22-41-42    ;    64.6788990825688    ;    0
2022-01-25@22-46-48    ;    64.6788990825688    ;    0
2022-01-25@22-51-54    ;    64.6788990825688    ;    0
2022-01-25@22-57-01    ;    64.6788990825688    ;    0
2022-01-25@23-02-08    ;    64.6788990825688    ;    0
2022-01-25@23-07-14    ;    64.90825688073394    ;    0
2022-01-25@23-12-20    ;    65.36697247706422    ;    0
2022-01-25@23-17-26    ;    65.59633027522935    ;    0
2022-01-25@23-22-31    ;    66.05504587155964    ;    0
2022-01-25@23-27-37    ;    66.05504587155964    ;    0
2022-01-25@23-32-47    ;    66.97247706422019    ;    0
2022-01-25@23-37-53    ;    66.97247706422019    ;    0
2022-01-25@23-42-59    ;    66.97247706422019    ;    0
2022-01-25@23-48-06    ;    66.97247706422019    ;    0
2022-01-25@23-53-11    ;    67.66055045871559    ;    0
2022-01-25@23-58-17    ;    68.11926605504587    ;    0
2022-01-26@00-03-22    ;    68.11926605504587    ;    0
2022-01-26@00-08-27    ;    68.34862385321101    ;    0
2022-01-26@00-13-35    ;    68.57798165137615    ;    0
2022-01-26@00-18-44    ;    68.57798165137615    ;    0
2022-01-26@00-23-50    ;    68.57798165137615    ;    0
2022-01-26@00-28-57    ;    68.80733944954129    ;    0
2022-01-26@00-34-03    ;    69.03669724770643    ;    0
2022-01-26@00-39-08    ;    69.03669724770643    ;    0
2022-01-26@00-44-14    ;    69.03669724770643    ;    0
2022-01-26@00-49-20    ;    69.03669724770643    ;    0
2022-01-26@08-10-51    ;    66.97247706422019    ;    0
2022-01-26@08-16-18    ;    65.82568807339449    ;    0
2022-01-26@08-21-40    ;    64.6788990825688    ;    0
2022-01-26@08-27-06    ;    62.38532110091744    ;    0
2022-01-26@08-28-29    ;    62.61467889908256    ;    0
2022-01-26@08-28-56    ;    62.61467889908256    ;    0
2022-01-26@08-32-23    ;    61.23853211009175    ;    0
2022-01-26@08-37-33    ;    59.63302752293578    ;    0
2022-01-26@08-42-45    ;    58.256880733944946    ;    0
2022-01-26@08-47-56    ;    56.65137614678899    ;    0
2022-01-26@08-53-12    ;    54.12844036697248    ;    0
2022-01-26@09-00-04    ;    51.146788990825684    ;    0
2022-01-26@09-05-21    ;    49.77064220183486    ;    0
2022-01-26@09-10-34    ;    49.08256880733945    ;    0
2022-01-26@09-15-47    ;    49.08256880733945    ;    0
