#Temps                 ;        % P. Voitures     ;        % P. Vélos
2022-01-25@22-26-24    ;    79.72972972972973    ;    0
2022-01-25@22-31-29    ;    79.72972972972973    ;    0
2022-01-25@22-36-35    ;    78.37837837837837    ;    0
2022-01-25@22-41-44    ;    78.37837837837837    ;    0
2022-01-25@22-46-51    ;    78.37837837837837    ;    0
2022-01-25@22-51-56    ;    78.37837837837837    ;    0
2022-01-25@22-57-05    ;    78.37837837837837    ;    0
2022-01-25@23-02-11    ;    78.37837837837837    ;    0
2022-01-25@23-07-17    ;    78.37837837837837    ;    0
2022-01-25@23-12-22    ;    78.37837837837837    ;    0
2022-01-25@23-17-28    ;    78.37837837837837    ;    0
2022-01-25@23-22-33    ;    78.37837837837837    ;    0
2022-01-25@23-27-43    ;    78.37837837837837    ;    0
2022-01-25@23-32-49    ;    78.37837837837837    ;    0
2022-01-25@23-37-56    ;    78.37837837837837    ;    0
2022-01-25@23-43-02    ;    78.37837837837837    ;    0
2022-01-25@23-48-08    ;    78.37837837837837    ;    0
2022-01-25@23-53-14    ;    78.37837837837837    ;    0
2022-01-25@23-58-19    ;    78.37837837837837    ;    0
2022-01-26@00-03-24    ;    78.37837837837837    ;    0
2022-01-26@00-08-32    ;    78.37837837837837    ;    0
2022-01-26@00-13-38    ;    78.37837837837837    ;    0
2022-01-26@00-18-46    ;    78.37837837837837    ;    0
2022-01-26@00-23-52    ;    78.37837837837837    ;    0
2022-01-26@00-29-00    ;    78.37837837837837    ;    0
2022-01-26@00-34-05    ;    78.37837837837837    ;    0
2022-01-26@00-39-11    ;    78.37837837837837    ;    0
2022-01-26@00-44-16    ;    78.37837837837837    ;    0
2022-01-26@08-11-08    ;    74.32432432432432    ;    0
2022-01-26@08-16-22    ;    74.32432432432432    ;    0
2022-01-26@08-22-00    ;    72.97297297297297    ;    0
2022-01-26@08-27-11    ;    74.32432432432432    ;    0
2022-01-26@08-32-27    ;    74.32432432432432    ;    0
2022-01-26@08-37-38    ;    71.62162162162163    ;    0
2022-01-26@08-42-50    ;    71.62162162162163    ;    0
2022-01-26@08-48-04    ;    70.27027027027027    ;    0
2022-01-26@08-53-16    ;    70.27027027027027    ;    0
2022-01-26@09-00-14    ;    66.21621621621621    ;    0
2022-01-26@09-05-26    ;    64.86486486486487    ;    0
2022-01-26@09-10-39    ;    63.51351351351351    ;    0
2022-01-26@09-15-52    ;    63.51351351351351    ;    0
2022-01-26@09-19-44    ;    63.51351351351351    ;    0
2022-01-26@09-24-54    ;    62.16216216216216    ;    0
2022-01-26@09-30-04    ;    60.810810810810814    ;    0
2022-01-26@09-35-30    ;    58.108108108108105    ;    0
2022-01-26@09-40-52    ;    58.108108108108105    ;    0
2022-01-26@09-46-06    ;    52.702702702702695    ;    0
2022-01-26@09-51-23    ;    47.2972972972973    ;    0
2022-01-26@09-56-51    ;    45.94594594594595    ;    0
2022-01-26@10-02-04    ;    43.24324324324324    ;    0
2022-01-26@10-07-31    ;    44.5945945945946    ;    0
2022-01-26@10-12-42    ;    45.94594594594595    ;    0
2022-01-26@10-18-02    ;    45.94594594594595    ;    0
2022-01-26@10-23-24    ;    51.35135135135135    ;    0
2022-01-26@10-28-40    ;    45.94594594594595    ;    0
2022-01-26@10-34-22    ;    45.94594594594595    ;    0
2022-01-26@10-39-56    ;    45.94594594594595    ;    0
2022-01-26@10-45-38    ;    54.054054054054056    ;    0
2022-01-26@10-51-02    ;    54.054054054054056    ;    0
2022-01-26@10-56-21    ;    50.0    ;    0
2022-01-26@11-01-47    ;    51.35135135135135    ;    0
2022-01-26@11-07-16    ;    51.35135135135135    ;    0
2022-01-26@11-12-30    ;    54.054054054054056    ;    0
2022-01-26@11-17-51    ;    44.5945945945946    ;    0
2022-01-26@11-23-48    ;    35.13513513513514    ;    0
2022-01-26@11-29-12    ;    33.78378378378378    ;    0
2022-01-26@11-34-44    ;    39.189189189189186    ;    0
2022-01-26@11-39-58    ;    36.486486486486484    ;    0
2022-01-26@11-45-32    ;    36.486486486486484    ;    0
2022-01-26@11-50-58    ;    36.486486486486484    ;    0
2022-01-26@11-56-11    ;    33.78378378378378    ;    0
2022-01-26@12-01-40    ;    37.83783783783784    ;    0
2022-01-26@12-07-32    ;    40.54054054054054    ;    0
2022-01-26@12-43-32    ;    58.108108108108105    ;    0
2022-01-26@12-48-45    ;    60.810810810810814    ;    0
2022-01-26@12-54-03    ;    62.16216216216216    ;    0
2022-01-26@12-59-13    ;    64.86486486486487    ;    0
2022-01-26@13-04-29    ;    64.86486486486487    ;    0
2022-01-26@13-09-39    ;    67.56756756756756    ;    0
2022-01-26@13-14-58    ;    66.21621621621621    ;    0
2022-01-26@13-20-11    ;    62.16216216216216    ;    0
2022-01-26@13-25-22    ;    60.810810810810814    ;    0
2022-01-26@13-30-41    ;    62.16216216216216    ;    0
2022-01-26@13-36-25    ;    60.810810810810814    ;    0
2022-01-26@13-42-05    ;    59.45945945945946    ;    0
2022-01-26@13-47-35    ;    62.16216216216216    ;    0
2022-01-26@13-52-53    ;    58.108108108108105    ;    0
2022-01-26@15-29-50    ;    62.16216216216216    ;    0
2022-01-26@15-35-24    ;    55.4054054054054    ;    0
2022-01-26@15-40-32    ;    55.4054054054054    ;    0
2022-01-26@15-45-39    ;    56.75675675675676    ;    0
2022-01-26@15-50-48    ;    55.4054054054054    ;    0
2022-01-26@15-55-54    ;    51.35135135135135    ;    0
2022-01-26@16-00-59    ;    51.35135135135135    ;    0
2022-01-26@16-06-07    ;    45.94594594594595    ;    0
